f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ic.m0,ela_meta.lin_simple.coef.max,ela_level.lda_qda_10,ic.eps.s
4,1,-0.1341096280682248,-0.2367591961388268,0.5191152982467446,-0.1377475886498715,0.9296900959069812,-0.1809024759989615,0.3981313445227001,-0.1685178082627676,-0.9858451165384636,-0.0749012325330449
4,2,-0.1341095383315498,-0.2367045376601907,0.6442152524881865,0.0317555959296906,0.1120520660459387,-0.1808962403942544,-0.1818909994593738,-0.1685132194680176,-0.2157844040105415,0.0510397481918488
4,3,-0.1341096878417206,-0.23675997182881,0.5887619746186292,-0.2715588566026645,0.2201113039871394,-0.1809023211704375,0.1153213528745549,-0.1685185069387083,-0.3580389081201466,-0.2344348624622811
4,4,-0.1341095598301972,-0.2367587900207582,0.6065862425052726,-0.0797315144325765,0.3875572052727966,-0.180899946956477,0.0616398266820831,-0.1685158552277539,-0.5783331220228486,-0.0413085833287026
4,5,-0.1341096311010261,-0.2367645063205208,0.614508139343781,-0.1109675113805978,1.27652045451146,-0.1809003389303457,0.1834052397528131,-0.1685157566318813,-1.1363687289705158,-0.0077578725128801
5,1,-0.1341096850066221,-0.2367754253997321,0.656098097745949,-0.8870550418280828,-0.8589504913180558,-0.1809046933198798,-1.2319540240047993,-0.1685198278077435,0.91217365309831,-0.9564880976073012
5,2,-0.1341096850066221,-0.2367754253997321,0.656098097745949,-0.8870550418280828,-0.8203797718262958,-0.1809036093214841,-1.221479579869684,-0.1685198278077435,0.7483419444598196,-0.9564880976073012
5,3,-0.1341096850066221,-0.2367754253997321,0.656098097745949,-0.8870550418280828,-0.8396651315721758,-0.1809045696019631,-1.281707633646603,-0.1685198278077435,0.6905873910202253,-0.9564880976073012
5,4,-0.1341096850066221,-0.2367754253997321,0.656098097745949,-0.8870550418280828,-0.9523161218338244,-0.1809031437823054,-1.2869448557141605,-0.1685198278077435,0.904421364046016,-0.9564880976073012
5,5,-0.1341096850066221,-0.2367754253997321,0.656098097745949,-0.8870550418280828,-0.9161943369129696,-0.1809047393392945,-1.3419356874235218,-0.1685198278077435,0.7593243539505704,-0.9564880976073012
6,1,-0.1339235292192683,-0.2295556415348457,0.5755588132211156,0.8792269596307133,-0.4309991750523354,-0.1798633306952587,-1.0119906971673518,-0.1681103971528058,0.4567266712760073,0.7479299502250021
6,2,-0.134016046732601,-0.2301915982789702,0.5506378460833083,0.8524914415582273,-0.2669205588016735,-0.1800139633154473,-0.8548740351406048,-0.1682681919468968,0.1024470615861479,0.7311126564285712
6,3,-0.1335180187699777,-0.2298809476662988,0.5605402171314436,0.8792269596307133,-0.2243703206321919,-0.1797706986587124,-0.8470182020392683,-0.1682449473339945,0.1193728926836577,0.7479299502250021
6,4,-0.1339475861221774,-0.2272549490910243,0.6041106497432387,0.9238307156149778,-0.6890556554614928,-0.1793129730418064,-0.9897325033802288,-0.1680809849009172,0.6509215120359845,0.7856954690870622
6,5,-0.1340264067958705,-0.2324276737580201,0.4290037217087138,0.7721957689471939,0.0875627203368846,-0.1804620429074463,-0.6362200138200496,-0.1683652070477869,-0.1237905739233137,0.6807446518163176
7,1,-0.1341096275444144,-0.2367557099424417,0.647351003320096,-0.2715588566026645,-1.4965918302175512,-0.18090220793033,-0.7907180648130178,-0.1685189373299375,1.8566608693028583,-0.3100078385749211
7,2,-0.134109554993613,-0.23675997182881,0.6442152524881865,-0.3161626125869289,-1.208229784493439,-0.1809030166268656,-0.6781177903605166,-0.1685192198439321,1.1086941805739758,-0.3519881654832192
7,3,-0.1341095776377135,-0.2367607125060445,0.6428949363484352,-0.3161626125869289,-1.0934359764822486,-0.1809031759807406,-0.4974336290297543,-0.1685195059503234,0.8575200152796337,-0.335170871686788
7,4,-0.1341096306587426,-0.2367650427567214,0.635303118544865,-0.3964137260011747,-0.8644605941025924,-0.1809034739812208,-0.5052894621310937,-0.1685195503151384,0.7874910041739069,-0.4359488192998149
7,5,-0.1341095710156899,-0.2367633563519212,0.6376136717894296,-0.3696782079286887,-1.160475560360784,-0.1809032501160786,-0.6833550124280743,-0.1685193066681527,1.209990757523958,-0.4023561700954727
8,1,-0.1340443655956147,-0.2320076755625702,0.635138079027396,0.7855635279834371,0.1108275987604861,-0.180456289083235,0.0969910756381031,-0.1683197283266972,-0.248214813212641,0.6807446518163176
8,2,-0.1340732640884963,-0.2306298989841444,0.6442152524881865,0.8346232036464492,-0.0064151438216102,-0.1803024430794358,-0.1124978070642262,-0.1682810574341055,-0.1143586222430222,0.7227249787246154
8,3,-0.1340237143858149,-0.2298809476662988,0.6452054895930003,0.8569473612369749,0.0012377767124689,-0.1802369750589872,-0.0810744746588773,-0.1683251815027265,-0.1172011282288632,0.7227249787246154
8,4,-0.1340716915790202,-0.2315471142458819,0.6364583951671473,0.8078876855739628,0.0330739261342391,-0.1804175316525565,0.0249792722091766,-0.1683537727156796,-0.1788318261946044,0.6807446518163176
8,5,-0.134038028166115,-0.2315471142458819,0.6379437508243678,0.8078876855739628,0.0939911735855112,-0.1804000078923988,0.006648994972722,-0.1683700687377479,-0.2077737053231708,0.6807446518163176
9,1,-0.1340871371302187,-0.2333228827831036,-0.209864250413479,0.7454156916779202,0.9428531192255978,-0.1806072258529711,0.0420002439287419,-0.1684895137445254,-0.9703405384338744,0.6891323295202731
9,2,-0.134098626730549,-0.2333228827831036,-0.1681092524938422,0.736503852320425,1.076932286982669,-0.180614133613111,0.0472374659962996,-0.1684808599650158,-1.039852730269449,0.6807446518163176
9,3,-0.1340953439983707,-0.2331599561962509,-0.2377559288657265,0.7454156916779202,0.9162209557670016,-0.1806061688259612,0.0092676060065008,-0.1684841345829186,-0.958324490402818,0.6891323295202731
9,4,-0.1340978228038331,-0.2333228827831036,-0.1417029296988148,0.736503852320425,0.9850972405737162,-0.1806160857550552,0.061639826682086,-0.1684892336421648,-0.9938558152258348,0.6807446518163176
9,5,-0.1341021914704401,-0.2331599561962509,-0.1790018606467908,0.7454156916779202,1.031320880599556,-0.1806087577798084,0.0616398266820831,-0.1684812610638214,-1.017112682382718,0.6891323295202731
10,1,-0.1254661292881554,0.0653615099626929,0.626721063636481,1.6018434539332262,-1.947195791264146,-0.1411206260339635,-0.9399788937384282,-0.1477740755338873,2.817686302152302,1.5035758345743646
10,2,-0.1041904569856287,0.0325447857755864,0.6283714588111703,1.5928870553789432,-1.980562524792732,-0.1459643535827031,-0.8391623689379318,-0.1526353697065583,2.625171124020321,1.4993610265281272
10,3,-0.1318732817915441,-0.0462281304061112,0.636953513719554,1.5393714600371835,-1.1993523966739066,-0.1584817382247811,-0.4921964069621967,-0.1584695578107574,0.7722448357043943,1.4699831853700225
10,4,-0.1303138646106715,0.1265402524169447,0.622595075699758,1.6374908113632076,-2.137906570973405,-0.1311861148701272,-0.9975883364815682,-0.1412118635743992,3.308923018432698,1.5917303272429384
10,5,-0.1325189982468798,-0.0462281304061112,0.6394291064815879,1.5215477813221927,-1.275881602014701,-0.1607168281799191,-0.502670851097312,-0.1653052069348746,0.9328464239044288,1.4447782138696357
11,1,-0.1329355568608679,-0.0854534143897572,0.6435550944183108,1.5036795434104149,-1.47914317139985,-0.1671378890569099,-0.1007140574122185,-0.1653170056313465,1.2540496003044983,1.4447782138696357
11,2,-0.1335702175919229,-0.0854534143897572,0.6435550944183108,1.4992236237316665,-1.5516928580629232,-0.16741434954544,-0.0758372525913197,-0.167027191596449,1.3757605384255227,1.43639053616568
11,3,-0.1287887152526778,-0.0708387464130207,0.635303118544865,1.530459620679688,-1.6943432968181626,-0.1609311893538988,-0.3678123828576908,-0.1558857047568162,1.6191824146675702,1.4783708630739778
11,4,-0.1315398326235177,-0.0630103350859224,0.6329925653003,1.548283299394679,-1.833626450538408,-0.1585444229827146,-0.4018543262968184,-0.1549020182766581,1.934312964643342,1.4867585407779338
11,5,-0.133181047539362,-0.0854534143897572,0.6420697387610907,1.4992236237316665,-1.5403665356724852,-0.1672765717146355,-0.0692907250068726,-0.1665090216080068,1.3562506109772476,1.43639053616568
12,1,0.1054414638445464,3.084050811418732,-1.0606429629657663,2.226296037712927,-0.1674325918586407,1.3495774336318052,-0.6205083476173737,1.0387008138934848,-0.0020796358022894,2.5111036803735147
12,2,1.5049652165779457,6.393728193049594,-0.2496387741234889,2.324415389038951,-0.0633528725951615,1.834342643593384,-0.8352344523872636,1.19725138800535,-0.0467845026705213,2.485898708873128
12,3,10.218186701485973,4.456885247661125,-0.8554988427518979,2.4403584190799656,-0.2430434467353457,8.435356379682739,-0.8941532006472901,8.870910981259243,0.1413377116651588,2.8763031676037425
12,4,2.492241146607287,3.756472304507403,-0.9345527716195108,2.36010730566572,-0.0214148680684062,5.383492473783475,-0.7344179275867672,5.149788819151777,-0.1010505260365827,2.7965363526391247
12,5,0.3714407222296685,5.028806807130885,-1.1312798764424643,2.3333272283964464,0.047767533559672,2.49219319522424,-0.5759919600431307,2.054668267005906,-0.1396827664805171,2.6328298530521708
13,1,-0.1341094877807862,-0.2367620953392391,0.6425648573134974,-0.3607663685711933,-0.6654846602165282,-0.1809010906031391,-0.8718950068601701,-0.1685193630140477,0.6078963077957503,-0.4527241747077262
13,2,-0.1341094617023644,-0.2367607125060445,0.6428949363484352,-0.3428981306594151,-0.6514032864338223,-0.1809008821876628,-0.9478347268397648,-0.1685192266735974,0.6399391025452342,-0.4443364970037706
13,3,-0.1341094555511587,-0.2367633563519212,0.6283714588111703,-0.378590047286184,-0.4597741562604742,-0.1809019399646881,-0.4764847407595237,-0.1685195286368999,0.3121464804507147,-0.4695414685041573
13,4,-0.1341096709921455,-0.2367633563519212,0.6260609055666053,-0.378590047286184,-0.48150845057726,-0.1809000656683157,-0.4987429345466466,-0.1685195094070417,0.344964504105428,-0.4695414685041573
13,5,-0.1341095772830715,-0.2367627403916308,0.6255657870141986,-0.3696782079286887,-0.4628353244741056,-0.1809016380664092,-0.4777940462764131,-0.1685195941852922,0.2388873489065318,-0.4695414685041573
14,1,-0.1341096776977342,-0.2367741482437023,0.5121836385130499,-0.6640362619067609,-0.5522214363121534,-0.180904777316067,-0.78548084274546,-0.1685197402064551,0.5399345737706351,-0.595482449229051
14,2,-0.1341096735500525,-0.2367740413738891,0.4526043727067695,-0.6462125831917702,-0.7389526973436905,-0.1809049466689799,-0.7697691765427842,-0.1685196815748399,0.7394268120496804,-0.5618898000247087
14,3,-0.1341096941233694,-0.2367747729358826,0.4398963298616625,-0.7265082558028035,-0.7208918048832631,-0.1809046729620738,-0.4987429345466466,-0.1685197757519103,0.5208122607749751,-0.6458504538413046
14,4,-0.1341097160031552,-0.236774695541522,0.2717210615608323,-0.7175964164453081,-0.694259641424667,-0.180904709008687,-0.6296734862355996,-0.1685197837674777,0.6314115845877106,-0.6122578046369623
14,5,-0.1341096710838633,-0.2367740413738891,0.4791757350192657,-0.6462125831917702,-0.4267135395532514,-0.1809047162562559,-0.7867901482623466,-0.1685196742404917,0.3200279743205469,-0.5366848285243221
15,1,-0.1341096232051444,-0.2367665113328151,0.2477903315278388,-0.3875018866436793,-0.1839629002122524,-0.1809017928778225,-0.4149473814657126,-0.1685194196631635,-0.0334764064640825,-0.3267831939828324
15,2,-0.1341096390458239,-0.2367655550417924,0.1626299405138755,-0.3607663685711933,-0.444468315192315,-0.1809028201098687,-0.6480037634720571,-0.1685187989034302,0.3808834433810593,-0.2176595070543698
15,3,-0.1341076749931488,-0.2367591961388268,0.0573347283687038,-0.2626024580483816,-0.275185712978479,-0.1809018479722202,-0.7920273703299071,-0.1685180046504636,0.2166641202899538,-0.091718526329476
15,4,-0.134109669371798,-0.2367681787404306,0.3857633681318566,-0.449973880539722,-0.5127323663563033,-0.1809036577668586,-0.5131452952324302,-0.1685194627333794,0.3492282630841898,-0.4023561700954727
15,5,-0.13410967036235,-0.2367675868460806,0.0578298469211105,-0.414281963912953,-0.1205967181900752,-0.1809038167763214,-0.3416262725198996,-0.1685195419901829,-0.1356774171368318,-0.3183955162788768
16,1,-0.1341097252462691,-0.2367746145266218,-2.646837765359565,-0.7532437738752897,1.532434117171075,-0.1809047581555968,2.7208393314847745,-0.1685198778797925,-1.2474848720534035,-0.7885667899741097
16,2,-0.1341097253359487,-0.2367746145266218,-2.6488182395691924,-0.7443319345177943,1.532434117171075,-0.180905453269894,2.699890443214541,-0.1685198779507154,-1.2474848720534035,-0.7969544676780652
16,3,-0.1341097254684299,-0.2367746145266218,-2.6488182395691924,-0.7532437738752897,1.532434117171075,-0.180904712950403,2.680250860461197,-0.1685198780845951,-1.2474848720534035,-0.7885667899741097
16,4,-0.1341097251912384,-0.2367746145266218,-2.6476629629469097,-0.7443319345177943,1.532434117171075,-0.1809057186145966,2.728695164586111,-0.1685198780943599,-1.2474848720534035,-0.7885667899741097
16,5,-0.1341097254072848,-0.2367746145266218,-2.649478397639068,-0.7532437738752897,1.532434117171075,-0.180904967707544,2.731313775619893,-0.1685198779687031,-1.2474848720534035,-0.7885667899741097
17,1,-0.1341096935139557,-0.2367749848013472,0.0391803814471223,-0.7175964164453081,0.1778671826390217,-0.1809048193856177,-0.1962933601451602,-0.1685197702065654,-0.2451138975917229,-0.553502122320753
17,2,-0.134109722910523,-0.2367760549902895,-0.253434683025274,-1.038734547692654,0.8311204794280393,-0.1809049296030123,0.7490252230491006,-0.1685198633573102,-0.8714988530171197,-0.8641397660867499
17,3,-0.1341097186874288,-0.2367759185172399,0.2022394247064165,-0.9762625537966114,0.7105104518109476,-0.1809044931452846,0.292077597654646,-0.1685198531642057,-0.6869943735725099,-0.8725274437907053
17,4,-0.1341097194456291,-0.2367759620915001,-0.082618782444941,-0.9941307917083896,0.7503056385881602,-0.1809048824375121,0.6076202272250294,-0.168519854510969,-0.7061166865681698,-0.8137717614744964
17,5,-0.1341097210680147,-0.2367761287215158,-0.2219121351887103,-1.1011619823919092,1.1632572306070843,-0.180905208846833,1.0475468808999215,-0.1685198624191242,-1.0972196692564284,-0.8221594391784519
18,1,-0.1341096024748881,-0.2367701684612689,0.0426462113139696,-0.4365615623066914,0.2375599628048406,-0.1809040784489224,-0.1360653063682385,-0.1685193779582126,-0.3150137038799119,-0.2764151893705789
18,2,-0.134109709764308,-0.2367748468374871,-0.2697735952546973,-0.7622001724295725,0.7686726478699508,-0.18090477739005,0.7385507789139852,-0.1685198193622706,-0.8406189016254796,-0.6122578046369623
18,3,-0.1341096849801259,-0.2367742502577328,0.1532226880181469,-0.6908163391760346,0.7512239890522503,-0.1809042672307792,0.4321732879618277,-0.1685197735568994,-0.7001732649614103,-0.6122578046369623
18,4,-0.1341096771066641,-0.2367745296356143,-0.0949967462551102,-0.7175964164453081,0.4919430413576396,-0.1809046781631313,0.6835599472046241,-0.1685197755029095,-0.5992643024640438,-0.5450725062282777
18,5,-0.1341097043142337,-0.2367752788743604,-0.2116796851056369,-0.8157157677713323,1.1969300809570345,-0.1809050747588225,1.1143214622612905,-0.168519801965357,-1.1207349460483882,-0.553502122320753
19,1,-0.1341097216876193,-0.2367753787586617,-0.2691134371848216,-0.833539446486323,0.992750161107796,-0.1809050783900215,0.0511653825469678,-0.1685198685899265,-0.997731959751982,-0.7969544676780652
19,2,-0.1341097244146946,-0.2367754253997321,-0.2186113448393319,-0.8424512858438185,1.2532555760878583,-0.1809047971352959,0.1113934363238866,-0.168519869501131,-1.123965066486844,-0.8053840837705407
19,3,-0.1341097233833791,-0.2367754020791969,-0.2143203173851401,-0.833539446486323,1.012035520853676,-0.1809045637281323,0.0865166315029849,-0.1685198700654302,-1.00742232106735,-0.8053840837705407
19,4,-0.1341097205319752,-0.2367753787586617,-0.2913937720431261,-0.833539446486323,1.050300123524073,-0.1809050062585814,0.0642584377158649,-0.1685198708705074,-1.0265446340630102,-0.7969544676780652
19,5,-0.1341097224723158,-0.2367754253997321,-0.2283486763699983,-0.8424512858438185,1.004382600319596,-0.1809059127737503,0.0904445480536531,-0.168519870012495,-1.0035461765412028,-0.8053840837705407
20,1,-0.134100520688421,-0.235199081854566,0.6518070702917571,0.5759125070983584,-0.6716069966437918,-0.180730940748358,-0.4437521028372855,-0.1684563023285335,0.4469071051431008,0.4960060503866949
20,2,-0.1341032716205342,-0.2352701429114728,0.6518070702917571,0.567000667740863,-0.7120144170637313,-0.1807289967141579,-0.4241125200839414,-0.168456446864171,0.4416097076240332,0.4918122115347171
20,3,-0.1341024531799893,-0.235199081854566,0.6518070702917571,0.567000667740863,-0.670076412536976,-0.1807300528021208,-0.4031636318137078,-0.1684563571179802,0.4501372255815568,0.487618372682739
20,4,-0.134102326360797,-0.235124668390865,0.6518070702917571,0.5759125070983584,-0.6758926321428764,-0.1807302341149484,-0.4044729373305973,-0.1684561194963535,0.4417389124415711,0.4918122115347171
20,5,-0.1340977187428791,-0.235199081854566,0.6518070702917571,0.5759125070983584,-0.6777293330710552,-0.1807296483023833,-0.4097101593981549,-0.1684568963924934,0.4258467198843671,0.4960060503866949
21,1,-0.1341097255010407,-0.2367762418953275,-1.7742738365013806,-1.1725458156454471,1.555392878773313,-0.1809048158270981,0.9532768836838724,-0.1685198778101545,-1.2571752333687718,-1.1076340498325816
21,2,-0.1341097254663918,-0.2367762338449509,-1.784011168032047,-1.1725458156454471,1.5514133600955924,-0.1809048851914253,0.9598234112683224,-0.1685198778224889,-1.2554955707407744,-1.099246372128626
21,3,-0.1341097253522541,-0.2367762253686286,-1.624582994157069,-1.154677577733669,1.5550867619519502,-0.1809054878282093,0.8446045257820394,-0.1685198781994593,-1.2570460285512337,-1.0908167560361506
21,4,-0.1341097247836039,-0.2367762338449509,-1.6481836451551248,-1.1725458156454471,1.5361075190274327,-0.1809049357352134,0.9257814678291916,-0.1685198775652651,-1.2490353298638626,-1.099246372128626
21,5,-0.1341097254398955,-0.2367762165089549,-1.711888898898128,-1.1636339762879515,1.532434117171075,-0.1809040434080061,0.9820816050554424,-0.1685198783279427,-1.2474848720534035,-1.099246372128626
23,1,-0.1341097256865145,-0.2367760203608921,-2.646177607289689,-1.0476463870501491,1.532434117171075,-0.1809049736735277,2.724767248035443,-0.1685198789336136,-1.2474848720534035,-1.0908167560361506
23,2,-0.1341097257313543,-0.2367760203608921,-2.644857291149938,-1.0476463870501491,1.532434117171075,-0.1809049848232953,2.7300044701030006,-0.1685198789621369,-1.2474848720534035,-1.0908167560361506
23,3,-0.1341097256783618,-0.2367760203608921,-2.6499735161914746,-1.038734547692654,1.532434117171075,-0.1809051976872878,2.6985811376976545,-0.1685198789685611,-1.2474848720534035,-1.0908167560361506
23,4,-0.1341097256967053,-0.2367760110965699,-2.6498084766740058,-1.043190467371402,1.532434117171075,-0.180905348481617,2.747025441822566,-0.1685198789528861,-1.2474848720534035,-1.0908167560361506
23,5,-0.1341097256539037,-0.2367760203608921,-2.648653200051723,-1.038734547692654,1.532434117171075,-0.1809050572705486,2.711674192866549,-0.1685198789364403,-1.2474848720534035,-1.0908167560361506
24,1,-0.1341096241569711,-0.2367732118443507,0.261158532442821,-0.6462125831917702,0.8464263204961978,-0.1809042662552295,0.3928941224551424,-0.1685198536354829,-0.8811892143324876,-0.7172086219077071
24,2,-0.1341096214665829,-0.2367731380705299,0.2514212009121547,-0.6462125831917702,0.8846909231665953,-0.1809042814259109,0.3955127334889213,-0.1685198555383225,-0.9053505152121388,-0.7214234299539448
24,3,-0.1341096158330731,-0.2367732856181715,0.2565374259536914,-0.6462125831917702,0.8421406849971131,-0.1809044108510336,0.3667080121173512,-0.1685198544873281,-0.878863527616799,-0.7129938138614693
24,4,-0.1341096202375647,-0.2367731380705299,0.2614886114777588,-0.6462125831917702,0.793468110400368,-0.1809041150464975,0.3798010672862454,-0.1685198540599922,-0.8528933592916126,-0.7214234299539448
24,5,-0.1341096249009042,-0.2367731380705299,0.2542268727091264,-0.6462125831917702,0.8207125075016911,-0.1809046504388783,0.3719452341849089,-0.1685198540396918,-0.8574155279054514,-0.7214234299539448
