f_id,i_id,ic.eps.max,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,disp.ratio_mean_05,disp.diff_mean_05,ela_level.mmce_qda_50,disp.ratio_mean_25,disp.ratio_mean_10,disp.diff_median_10,ela_level.qda_mda_10,ela_level.mmce_qda_25,disp.ratio_median_02,disp.diff_median_25,pca.expl_var_PC1.cor_init,ic.m0,ela_level.lda_qda_10,nbc.dist_ratio.coeff_var,ela_distr.kurtosis,disp.diff_median_02,ic.h.max,ela_meta.quad_simple.adj_r2,ela_level.lda_qda_25,disp.diff_mean_10,ela_level.mmce_mda_50
16,1,-0.3870915898371125,-1.5101089534709642,-1.5460669776281557,-1.8105578829418576,-0.3663362363737917,-0.2643087956286356,-0.3628131720105892,-0.3303101615016706,1.5470030867191007,0.8342070893148117,0.8345351021712745,2.2892104388871486,0.9317179349345904,0.8575633396234126,0.8507382517786092,1.5154113793149004,2.020482651547273,0.7704807488055236,0.9324272942618071,-1.4564451175683224,1.9846447421279587,-1.193605615748478,1.3776857140389327,-0.1913634712045825,0.7705417700405844,0.2685989126613068,-1.6058320084258009,-1.0265511086224326,0.8579837885663043,2.222933030588588
17,1,0.0890103994918578,1.2937205428234249,1.3221409749309974,0.6463304788836871,-0.105122695592746,-0.0622374679338273,-0.2163340020186611,-0.0069385255268943,-0.6548570506842823,0.6109432543407147,0.6111193235244949,-0.8182952090989288,0.8100253056907695,0.6785714994733938,0.681334085898194,-0.6633650310978492,-0.7488772705210326,0.669471764667132,0.8257568243469635,-1.2729471766122316,-0.2457899746725675,0.2369692554169531,0.3130400452331361,-0.1888099568061644,0.6697787565441289,-0.5282803530411141,-1.0048084528235646,1.6276932735500715,0.6787415510262602,-1.0203374912260166
18,1,0.8099256258614678,1.3048357131241926,1.4075041376502484,0.6463304788836871,-0.2503102693285292,-0.1382757391217972,0.089319286772729,0.3230845105227555,-0.6548570506842823,0.2844725522559511,0.2844587523267608,-0.421978744539687,-0.1239656237555555,0.1415959790233406,0.142728701852903,0.0791532978239089,0.0894110676035782,0.4666155475593248,-0.1414458276209514,-0.8044877273478588,-0.3042244976534992,-0.3823367486186478,-0.2679024391503542,-0.1985236144740089,0.4664510603815663,0.5693239632487959,0.5612518966839604,0.1042388429363228,0.141352536278336,0.1748427874130506
19,1,-0.3870905617830941,-0.2973327219542069,-0.3225283119855592,0.644936499671304,-0.1853340076968385,-0.2643084581482679,-0.3628111732831236,-0.3303094568819971,-0.6548570506842823,-0.179431784093529,-0.1799204292422573,-0.4526015800761603,-0.2568134106800587,-0.1992781871447087,-0.198506072843339,-0.4999140120920225,-1.040773985736101,-0.1038127819525054,-0.2592064582682684,1.0045860905486546,-0.529142284221619,0.3229936265140651,-0.3028088545210364,-0.1966652934232209,-0.103802828396242,-1.4582536187234303,1.202137682966243,0.366459281122506,-0.199226158546922,-0.6995022877035825
20,1,1.792427397485088,1.4494996545886836,1.5042661109756994,0.6463304788836871,-0.1683542982187262,0.323548024235304,1.439371404499763,1.0122726616263955,-0.6548570506842823,0.9000277953802894,0.9003319385223922,-0.6448845008865748,0.7025301498587284,0.8536149902083376,0.8610233562553693,-0.987985030449736,-0.5699990606399323,0.866460239957771,0.7061518517517463,-0.4979382259859234,-0.1895605280305363,0.6164953502437812,0.4252392374960421,-0.1952755212182502,0.8661177598322959,-0.4061371252114603,-0.0808699277589435,1.1593382591076806,0.8540171374058334,-1.009619935935935
21,1,0.2555154454396541,1.3215362565010955,1.3534521716460337,0.6463304788836871,-0.1746756155316703,0.0339163510213823,1.2113122312578908,0.2380210380049829,-0.6548570506842823,0.7178360809910489,0.7179804688220205,-0.702569377129699,0.3810587876063012,0.6193462582472856,0.6192285775320855,-1.8540187018313952,-1.1505401599813214,0.6820454971324915,0.3867391499598022,1.1557020419242587,-0.519219440696556,2.0908349754801523,0.320519991383997,-0.1960313442744539,0.682269889082392,-0.6849606314984606,0.907497086428077,3.3820894885813635,0.6192547719988982,-0.7199002155137372
22,1,-0.387075250507538,0.6261434145593204,0.3404788166404175,0.6463304788836871,0.1586033998831433,-0.2640621009896064,-0.36129190897192,-0.329972966261512,-0.6548570506842823,0.1291356859414257,0.1291883609527227,-0.32583728413448,-0.3085327781086836,-0.0156799393437709,-0.0046296452374678,-0.1983996541702793,-0.5391019152968333,0.2478326026620615,-0.3146090438404935,0.2101479461740548,-0.4111707000903043,-0.2399276282290818,-0.1906096622581303,-0.1549718200289555,0.2479668842565265,-3.080652631136605,0.246062165725461,0.6491091848533177,-0.0153964252967329,-0.5605197965225281
23,1,-0.3870910749696921,-0.4197385348914105,-0.3964926640986098,0.6376878077669108,-0.2279614331919979,-0.2643081638681276,-0.3628125470348194,-0.3303096577503444,-0.6548570506842823,-0.4916852136681512,-0.4913715352679186,-0.3475581325963972,-0.8044302422772526,-0.5750294398125768,-0.5921042134990591,-1.1845256100221877,-0.1780931644458854,-0.4738996408495993,-0.8375302132475011,0.6570194023847697,-0.4166833909375591,1.148734965228201,-0.8388716619993645,-0.1982161644991141,-0.4737378580665795,0.3031359632890015,0.996955348303063,0.0342584066141939,-0.5753098881209127,-0.395607736091277
24,1,-0.3870915703703748,-0.5754898587309171,-0.7663997025486972,0.4840712985622723,-0.0394153972650005,-0.2643086453782294,-0.3628130930268929,-0.3303100215235606,-0.6548570506842823,-1.1335687392186795,-1.13321803196579,-0.6366946727779824,-1.154296551353237,-1.1811010750264248,-1.2376445484088092,-0.0212564032058489,-0.1642707573187094,-1.0925272781453097,-1.1811644689870355,0.8146117516764706,-0.6173453377777447,-0.2392329495930352,-0.8887379696717671,-0.185464978914746,-1.091890385034805,-0.5030093403867023,0.192912524818734,-0.1561416744399398,-1.1807580124983954,-0.5491107860524415
25,1,-0.3870915490888846,-0.6978956716681207,-0.7038057350802354,-0.1303947382562808,-0.1315505936299525,-0.2643087745533443,-0.3628131664166388,-0.3303100276831515,1.2718084125956748,0.262356795017951,0.2624634298457488,-0.6794242107358522,0.1721531074044094,0.2356983067492691,0.2104534779591561,-0.4671097063578692,-0.3569713743269856,0.2725609431772695,0.1389303120275222,-1.3225995606356442,-0.498271215476976,0.0396805227797004,-0.4150080467839417,-0.1906263901022116,0.2724256579244552,0.0352632291522484,-0.9941476236882032,0.7288602351315737,0.2352403377799057,-0.354466152880965
26,1,-0.3870915120973955,-0.5087432610748074,-0.6070721877163957,0.5558612280000118,-0.0513945700154777,-0.2643086466724457,-0.3628130736795716,-0.3303099822418814,-0.6548570506842823,-0.4037487503646735,-0.403679137890867,-0.1061362431344329,0.1336171081438659,-0.0801696464566452,-0.0951146639102514,1.1134873203633993,0.566690654877241,-0.7538747504116151,0.1158780467658559,0.2101479461740548,-0.1531767684386361,-0.838972172046656,-0.237982654546918,-0.1844357076796719,-0.7539907176211784,-0.4255115682465102,-0.1975210291676035,-0.6804556597219662,-0.0802448074643777,-0.0198018457584259
27,1,-0.3870909109053396,-0.3140332653311102,-0.345269081274737,0.6443789079863504,-0.0924739178013448,-0.2643013283721706,-0.3628124033468635,-0.3303094503321656,-0.6548570506842823,-0.0214620895363848,-0.0209983529396415,-0.2823955872106458,0.3374522621272658,0.0810546213255398,0.0495418623526808,0.7443675671460521,-0.4675506313443931,0.0776680899641903,0.3333215424317224,0.1971951503418604,-0.6471138683529387,-0.6261689498710274,-0.0285441623228216,-0.1868148092508929,0.0778585987417293,-0.7835175808506631,-0.1653840369914429,-0.592710470752334,0.0806656309666665,-0.3810871773111669
28,1,-0.387091025241452,-0.3752222778368361,-0.3908074717763154,0.6459122851199722,5.20990110415268,-0.2643039317191202,-0.3628126213965256,-0.3303093515489794,-0.6548570506842823,1.2849472844511969,1.2849684636658725,-0.6762194953890119,0.9590987765144492,1.1925149816688505,1.2336771896891547,-0.0791631341974427,-0.4252703271906784,1.4431754357022806,0.9862266283368376,-0.949127280807366,-0.5600133529662645,-0.1667548118988335,0.4751055451684448,5.289994887420412,1.4431522660350258,0.3056630645544441,-1.2734922479886772,-0.576151183463054,1.1921124540323946,-0.6355426835530973
29,1,-0.3044993516828019,1.093452961929344,1.0945058743463283,0.6463304788836871,-0.0799295738236656,-0.1459752023126848,-0.2388717991297185,-0.2468856666207653,-0.6548570506842823,1.172788801315624,1.17268278924849,-0.5102864563192844,1.2805701387668764,1.2221276022819043,1.2321989819479888,0.4243116451137004,-0.6236625236042624,1.0223745225282348,1.2964537839568857,0.868581734310615,-0.881954498446124,-0.6555770121303361,0.9687819911252264,-0.1841705551197111,1.0224286613760214,-0.3547527328141584,0.2723279766386695,-0.6654190655167581,1.2219935203708987,-0.4270689467815156
30,1,-0.3713800585942707,0.948816808390605,0.903881375779796,0.6463304788836871,-0.0057999955775078,-0.0491352576549949,-0.3256124554795985,-0.3141404679561995,-0.6548570506842823,0.496678508611048,0.4963915718213537,-0.452245500593178,0.6538530981611986,0.5384050952382703,0.5561852255902986,-1.454947191204603,-0.477307624610635,0.4406298337975809,0.6580784158809817,0.8340409454247628,-0.5963971125581647,1.499316116886417,0.6546242527890898,-0.1755473104707555,0.4404086013481968,-0.9705230744933032,0.1935305438990447,-0.3394992999802419,0.5386696689863731,-0.4502326953116914
