f_id,i_id,similar_instances
20,1,"[(4, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5)]"
20,2,"[(8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5)]"
20,3,"[(4, 1), (4, 2), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5)]"
20,4,"[(4, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5)]"
20,5,"[(8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5)]"
21,1,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
21,2,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
21,3,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
21,4,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
21,5,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
22,1,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,2,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,3,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,4,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,5,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
23,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,3,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,4,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
24,1,"[(1, 1), (3, 1), (3, 5), (13, 5)]"
24,2,"[(1, 1), (3, 1), (3, 5), (13, 5)]"
24,3,"[(1, 1), (3, 1), (3, 5), (13, 5)]"
24,4,"[(1, 1), (3, 1), (3, 5), (13, 5)]"
24,5,"[(1, 1), (3, 1), (3, 5), (13, 5)]"
