f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.max,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_x,ela_meta.lin_w_interact.adj_r2,ic.eps.s,ela_level.mmce_qda_50,ic.eps.ratio,ela_level.lda_mda_10
13,1,-0.2643087950188353,-0.330310186866583,-0.3870915888676785,1.4651475404082066,0.4402277450233489,0.9414265870310552,-1.2248870324187209,-0.5882027468134524,-1.187054889098021,1.5578143593357052
14,1,-0.2643087775161002,-0.3303101611137607,-0.3870915746510001,1.1221023302703044,-0.3618625966945311,0.3206929662703627,-0.8986383148556354,-0.2594567566583818,-0.841878050921785,0.9293594927903344
15,1,-0.2419430797957324,-0.3140984669045534,-0.3825659709526801,-0.4657295638599139,-1.2976346620320425,-0.7777544786685019,1.1085701852073968,-0.0472137314354592,0.867046911093874,-0.0390143581758002
16,1,-0.2643087956331827,-0.3303101593406939,-0.387091589751617,-1.665516321903423,-2.1665658655597566,-1.95186736078238,-1.4958402934493562,2.516620493539991,-1.5322599926556997,-0.8196422584444218
17,1,-0.0622374679381475,-0.0069385235740316,0.0890103995636501,-1.0491440967595709,-0.6960669057436463,0.972073686298738,1.2910562398077443,-0.8388955954463249,1.3197452602775124,-0.8196422584444218
18,1,-0.1382757391262028,0.3230845122632235,0.8099256259125107,0.5569095983710437,-1.1639529384124112,-0.491888032956953,1.3021042830709717,-0.410949060893584,1.4046262007494448,-0.8196422584444218
19,1,-0.264308458152815,-0.3303094547210209,-0.3870905616975987,1.2141620379331777,0.8412729158822797,0.4328925161317099,-0.2903882929986877,-0.4440159090261408,-0.3156331792246706,0.382919962602297
20,1,0.3235480242314171,1.012272662923319,1.7924273975078524,-0.1016104447389438,-0.6960669057436463,0.3922028645616225,1.4458945661418674,-0.6516449554398702,1.5008415591798336,-0.8196422584444218
21,1,0.0339163510171701,0.2380210398001956,0.2555154455066541,0.9119970422135564,-0.9634303529829272,1.164267359672341,1.3187039680739692,-0.7139336693639889,1.3508795779364648,-1.0152933018028865
22,1,-0.2640621009941533,-0.3299729641007524,-0.387075250422043,0.233670693668355,-1.3644755238418766,-0.4068726332934945,0.6275107614183469,-0.3071345376867196,0.3436285775410129,-1.1299171453866337
23,1,-0.2643081638726748,-0.330309655589368,-0.3870910748841966,1.0037398489894669,1.4428406721706943,0.1570686227225655,-0.4120548694349721,-0.330588929966789,-0.3891797017381464,0.7090050348664076
24,1,-0.2643086453827765,-0.330310019362584,-0.3870915702848794,0.1791637411106471,1.8438858430296248,0.9996041314036052,-0.5668655756609366,-0.6428014960555811,-0.7569971104498529,-0.2149026698818969
25,1,-0.2643087745578915,-0.3303100255221749,-0.3870915490033891,-1.0382110161593323,0.5739094686428503,0.8461954876117019,-0.6885321520972211,-0.6889412841475209,-0.694756740513391,-0.8196422584444218
26,1,-0.2643086466769928,-0.3303099800809048,-0.3870915120119,-0.2212405295676347,-0.4955443203141809,0.0398477967100163,-0.5005220758652601,-0.0698991272473294,-0.5985696474644449,0.6744202544747572
27,1,-0.2643013283767177,-0.3303094481711893,-0.3870909108198442,-0.1882828373234391,1.9107267048394596,0.5527105539466053,-0.3069879780016858,-0.2602257531265809,-0.3382454843786985,0.5281760402472212
28,1,-0.2643039317236673,-0.3303093493880033,-0.3870910251559565,-1.3246894179742643,0.0391825741643996,-1.4441990271504834,-0.367807456165749,-0.6854808000406253,-0.3835266254496394,-0.0103583972798645
29,1,-0.1459752023170991,-0.2468856645134785,-0.3044993515996835,0.2606072690602459,-0.3618625966945311,0.8273224151813212,1.0919981203125568,-0.5063046229502594,1.0933960856856932,-0.8542270388360701
30,1,-0.0491352576593003,-0.3141404658056292,-0.3713800585092274,0.1797975428845739,1.4428406721706943,0.7771096536692988,0.9482354573498188,-0.4436314107920412,0.9038484377320544,-0.2949417330739937
