f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.intercept,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ic.eps.s,nbc.nb_fitness.cor
20,1,1.4975849147297786,0.6776101004751783,0.4695548307981464,1.012272663688727,1.7924273981743235,-0.6684606875586628,0.3235480316844116,1.43937140576894,1.442171200360657,0.428090155460073
21,1,1.3492213977744831,0.6776101004751783,1.2082141948822849,0.2380210408596802,0.2555154474681747,-0.6684606875586628,0.0339163590940609,1.211312232746867,1.3164355990120211,0.7708873461296287
22,1,0.3527068169695778,0.6776101004751783,-0.2949468433997231,-0.329972962825532,-0.3870752479190557,-0.6684606875586628,-0.2640620922753864,-0.3612919059672929,0.633149296351957,1.1597479092954062
23,1,-0.372290363424916,0.6693977519823445,0.2445942081414387,-0.3303096543140197,-0.387091072381196,-0.6684606875586628,-0.2643081551533779,-0.3628125440287268,-0.3945242245079631,0.1027899047309422
24,1,-0.7361871584751956,0.5234298803839099,1.0506754966889644,-0.3303100180872356,-0.3870915677818783,-0.6684606875586628,-0.2643086366634786,-0.3628130900207998,-0.5475639738150425,1.1076141698810775
25,1,-0.6746102167476372,-0.0604416060098277,0.9039044277096986,-0.3303100242468265,-0.3870915465003881,1.1904494569893975,-0.2643087658385933,-0.3628131634105456,-0.6678387455719889,0.2923996008200404
26,1,-0.5794483944502347,0.5916453557679334,0.1324452084812094,-0.3303099788055564,-0.387091509508899,-0.6684606875586628,-0.2643086379576949,-0.3628130706734785,-0.4819794104188596,0.6980429431123483
27,1,-0.321899060521619,0.6757556992026028,0.6231177889739702,-0.3303094468958412,-0.3870909083168437,-0.6684606875586628,-0.2643013196574356,-0.3628124003407709,-0.2906592456740416,0.5270014281845177
28,1,-0.3666975440127853,0.6772127287739123,-1.2873909452674228,-0.3303093481126551,-0.387091022652956,-0.6684606875586628,-0.2643039230043795,-0.3628126183904329,-0.3507829794785356,1.8174900188926164
29,1,1.0944824556004635,0.6776101004751783,0.8858479417968996,-0.2468856632698164,-0.3044993491662773,-0.6684606875586628,-0.1459751938527035,-0.238871796243078,1.0923231525691122,0.560924066844526
30,1,0.9069552207117232,0.6776101004751783,0.8378077499188105,-0.3141404645364224,-0.3713800560194654,-0.6684606875586628,-0.0491352494035079,-0.3256124525093587,0.9502050624454104,0.9483563083825132
