f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ela_meta.lin_simple.coef.max,disp.diff_median_25,ela_level.mmce_qda_50,nbc.nb_fitness.cor
12,1,-1.045258385957239,-1.8079093224383296,-0.3870915867968996,-0.2643087955073229,-0.3303101983172247,-1.1039884186066664,-0.3628131719673509,1.4147689226408262,2.298824584927669,-1.562795839524276
13,1,-1.1989007084672465,-1.8049819660923248,-0.387091588953174,-0.2643087950142881,-0.3303101890275597,-1.2375094018446378,-0.3628131709962916,-1.2420478441386422,-0.5861313861945032,0.0723772216564254
14,1,-0.8517628652679481,-1.6410500107160502,-0.3870915747364956,-0.2643087775115531,-0.3303101632747374,-0.9092784228629692,-0.3628131641925707,-1.5827006146377798,-0.2816834282446812,-0.3216581640252056
15,1,0.8668707737616592,0.6463304788836871,-0.3825659710380453,-0.2419430797912103,-0.3140984690550967,1.1101257173804957,-0.3134241938109641,-1.1024524550057242,-0.0851275536384805,1.3109322682231244
16,1,-1.5460669776281557,-1.8105578829418576,-0.3870915898371125,-0.2643087956286356,-0.3303101615016706,-1.5101089534709642,-0.3628131720105892,0.9324272942618071,2.2892104388871486,-1.7125883176017498
17,1,1.3221409749309974,0.6463304788836871,0.0890103994918578,-0.0622374679338273,-0.0069385255268943,1.2937205428234249,-0.2163340020186611,0.8257568243469635,-0.8182952090989288,0.5431535813284858
18,1,1.4075041376502484,0.6463304788836871,0.8099256258614678,-0.1382757391217972,0.3230845105227555,1.3048357131241926,0.089319286772729,-0.1414458276209514,-0.421978744539687,-0.3888065162668326
19,1,-0.3225283119855592,0.644936499671304,-0.3870905617830941,-0.2643084581482679,-0.3303094568819971,-0.2973327219542069,-0.3628111732831236,-0.2592064582682684,-0.4526015800761603,0.4546063036472202
20,1,1.5042661109756994,0.6463304788836871,1.792427397485088,0.323548024235304,1.0122726616263955,1.4494996545886836,1.439371404499763,0.7061518517517463,-0.6448845008865748,0.3929921562606733
21,1,1.3534521716460337,0.6463304788836871,0.2555154454396541,0.0339163510213823,0.2380210380049829,1.3215362565010955,1.2113122312578908,0.3867391499598022,-0.702569377129699,0.7471812669857348
22,1,0.3404788166404175,0.6463304788836871,-0.387075250507538,-0.2640621009896064,-0.329972966261512,0.6261434145593204,-0.36129190897192,-0.3146090438404935,-0.32583728413448,1.1489645394644763
23,1,-0.3964926640986098,0.6376878077669108,-0.3870910749696921,-0.2643081638681276,-0.3303096577503444,-0.4197385348914105,-0.3628125470348194,-0.8375302132475011,-0.3475581325963972,0.0568814480622032
24,1,-0.7663997025486972,0.4840712985622723,-0.3870915703703748,-0.2643086453782294,-0.3303100215235606,-0.5754898587309171,-0.3628130930268929,-1.1811644689870355,-0.6366946727779824,1.09509827887504
25,1,-0.7038057350802354,-0.1303947382562808,-0.3870915490888846,-0.2643087745533443,-0.3303100276831515,-0.6978956716681207,-0.3628131664166388,0.1389303120275222,-0.6794242107358522,0.252792299932003
26,1,-0.6070721877163957,0.5558612280000118,-0.3870915120973955,-0.2643086466724457,-0.3303099822418814,-0.5087432610748074,-0.3628130736795716,0.1158780467658559,-0.1061362431344329,0.6719160809566593
27,1,-0.345269081274737,0.6443789079863504,-0.3870909109053396,-0.2643013283721706,-0.3303094503321656,-0.3140332653311102,-0.3628124033468635,0.3333215424317224,-0.2823955872106458,0.4951904725844669
28,1,-0.3908074717763154,0.6459122851199722,-0.387091025241452,-0.2643039317191202,-0.3303093515489794,-0.3752222778368361,-0.3628126213965256,0.9862266283368376,-0.6762194953890119,1.8285648956681884
29,1,1.0945058743463283,0.6463304788836871,-0.3044993516828019,-0.1459752023126848,-0.2468856666207653,1.093452961929344,-0.2388717991297185,1.2964537839568857,-0.5102864563192844,0.5302404366666348
30,1,0.903881375779796,0.6463304788836871,-0.3713800585942707,-0.0491352576549949,-0.3141404679561995,0.948816808390605,-0.3256124554795985,0.6580784158809817,-0.452245500593178,0.9305479211840216
