f_id,i_id,ic.eps.ratio,ic.eps.s,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,ela_meta.lin_simple.intercept,ic.eps.max,nbc.nb_fitness.cor,pca.expl_var_PC1.cov_init,disp.diff_median_25,ela_meta.lin_simple.coef.max
15,1,0.8683130212114164,1.1079326537117316,-0.2419430791355062,-0.1303444168013142,-0.3140984655708243,-0.3825659704752177,1.3071654149145393,0.6457243798508657,-1.226826315547216,-0.3134241935163256
16,1,-1.516251008068746,-1.479404283917896,-0.2643087949692883,2.2017207724754875,-0.3303101580004942,-0.3870915892734262,-1.622651967399431,-1.7873271542423124,0.8966041714296678,-0.3628131717112102
17,1,1.3182297025208478,1.2892223979894049,-0.0622374673073958,-0.8504587276472851,-0.0069385223629006,0.0890103999651971,0.5631812815899057,0.6457243798508657,0.7852917816145633,-0.2163340017333417
18,1,1.402589080266366,1.3001980144130572,-0.1382757384829797,-0.4611982963837758,0.3230845133426309,0.8099256261980032,-0.3398960469915575,0.6457243798508657,-0.2240000937470336,0.0893192870287106
19,1,-0.3070999270496494,-0.2818547759332155,-0.2643084574889207,-0.4912759218003633,-0.3303094533808214,-0.387090561219408,0.4773782099907167,0.6443439250797492,-0.3468852486915194,-0.3628111729837448
20,1,1.4982132300651485,1.4430456621668892,0.3235480247988942,-0.6801354302300989,1.0122726637276476,1.79242739763518,0.4176735726696146,0.6457243798508657,0.6604820255126914,1.439371404626162
21,1,1.3491727110412233,1.316688878089594,0.0339163516321512,-0.7367932827590196,0.2380210409135549,0.2555154458813968,0.7608858590663701,0.6457243798508657,0.3271696176631313,1.211312231406179
22,1,0.3481109042978267,0.6300268755848598,-0.2640621003302993,-0.3667685421689083,-0.3299729627606872,-0.3870752499438547,1.1502172964476896,0.6457243798508657,-0.4046987579682986,-0.361291908672687
23,1,-0.3801945327419034,-0.4027237517986843,-0.2643081632087805,-0.3881026718248599,-0.3303096542491684,-0.3870910744060058,0.0919794133910265,0.6371655602699423,-0.9503755989728516,-0.3628125467354405
24,1,-0.7457518363058164,-0.5565195769351093,-0.2643086447188821,-0.6720914141303133,-0.3303100180223843,-0.3870915698066884,1.0980204278915164,0.4850394444928821,-1.3089635967499158,-0.362813092727514
25,1,-0.6838939109659458,-0.6773885528005781,-0.2643087738939971,-0.7140601937813655,-0.3303100241819752,-0.3870915485251982,0.2818187093042321,-0.1234650186153576,0.0685770194532726,-0.3628131661172599
26,1,-0.588297852868044,-0.4906110003110784,-0.2643086460130984,-0.1509790667964147,-0.3303099787407051,-0.3870915115337091,0.6879532482070596,0.5561328652053922,0.0445216015013664,-0.3628130733801927
27,1,-0.3295732877544162,-0.2983456396097528,-0.2643013277128246,-0.3241002828570053,-0.3303094468309898,-0.3870909103416534,0.5167046178070116,0.6437917431713023,0.2714274656232774,-0.3628124030474846
28,1,-0.3745761925657117,-0.3587664080219576,-0.2643039310597737,-0.7109125353075366,-0.3303093480478039,-0.3870910246777657,1.808755870971464,0.6453102434195308,0.9527446613996994,-0.3628126210971467
29,1,1.093271361866132,1.091469229076253,-0.1459752016726132,-0.5479337743292838,-0.2468856632065764,-0.3044993511347885,0.5506683336483574,0.6457243798508657,1.276471800739924,-0.2388717988422359
30,1,0.9048884157584244,0.9486490203634802,-0.0491352570306976,-0.4909261819699378,-0.3141404644718834,-0.3713800580335658,0.938569719836357,0.6457243798508657,0.6103166044953294,-0.3256124551837902
