f_id,i_id,ic.eps.s,ic.eps.ratio,ic.eps.max,ela_distr.skewness,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,disp.ratio_mean_25
19,1,-0.251900762607209,-0.2789267220575299,-0.3870903664069475,-0.1796763265060785,-0.3303093048370991,0.6984363607696548,-0.7091399635591878,-0.2643081685701257,-0.3628110159390643,-0.3065186353337129
20,1,1.451059218827008,1.5061876326730534,1.7924274495084929,-0.1627225051311612,1.0122727528774202,0.6997709232301093,-0.7091399635591878,0.3235482717586154,1.4393714709311367,0.6598146491692976
21,1,1.3263096727585004,1.3588146581297855,0.2555155985498803,-0.1690341846517075,0.2380211643151333,0.6997709232301093,-0.7091399635591878,0.0339166192647358,1.2113123091939098,0.3360010644045461
22,1,0.6483819006924001,0.3689532625334003,-0.3870750551323984,0.1637366971254314,-0.3299728142318508,0.6997709232301093,-0.7091399635591878,-0.2640618114290883,-0.3612917517045013,-0.3586148272043836
23,1,-0.3712323045033597,-0.3512035064815395,-0.3870908795935117,-0.2222387601242228,-0.3303095057054373,0.6914966359752905,-0.7091399635591878,-0.2643078742900064,-0.3628123896906908,-0.858125372787863
24,1,-0.5230718714336492,-0.7126707607896244,-0.3870913749941618,-0.0339801907903005,-0.330309869478637,0.5444278528331898,-0.7091399635591878,-0.2643083558000737,-0.3628129356827368,-1.2105407883835697
25,1,-0.6424034133298,-0.6515049347705356,-0.387091353712673,-0.1259749132870478,-0.3303098756382276,-0.0438472797352126,1.1604642636718838,-0.2643084849751794,-0.362813009072479,0.125573309005371
26,1,-0.4580016413236483,-0.5569784561406722,-0.3870913167211863,-0.045941099502706,-0.3303098301969596,0.6131578195466036,-0.7091399635591878,-0.2643083570942899,-0.3628129163354164,0.0867565385919305
27,1,-0.2681818651451401,-0.3011486388673714,-0.38709071552917,-0.0869578156872472,-0.3303092982872678,0.6979025357854727,-0.7091399635591878,-0.2643010387945384,-0.3628122460027421,0.2920768241998641
28,1,-0.3278340910827846,-0.3456480272790791,-0.3870908298652749,5.20733294358115,-0.3303091995040862,0.6993705544919729,-0.7091399635591878,-0.2643036421413017,-0.3628124640523932,0.918252620606148
29,1,1.1039547815249922,1.1057764691557213,-0.3044991617389006,-0.0744325974355898,-0.2468855183534055,0.6997709232301093,-0.7091399635591878,-0.1459749212000188,-0.23887164803789,1.2420662053708993
30,1,0.9629512229394154,0.9195012514972244,-0.371379864251446,-0.000416040803489,-0.3141403166434545,0.6997709232301093,-0.7091399635591878,-0.0491349834701889,-0.3256123000120612,0.6107829391733717
