f_id,i_id,ic.eps.ratio,ic.eps.max,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ic.eps.s,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_level.mmce_qda_50
19,1,-0.2923608574689789,-0.3870905506073464,-0.3303094411486566,-0.18552316738348,-0.2643084564271444,-0.3628111724880842,-0.2676724169358034,0.6882766640906994,-0.7091399635591877,-0.4440543214318741
20,1,1.498694343850062,1.7924274004608438,1.0122726710688603,-0.1685423534158911,0.3235480257064687,1.4393714048354305,1.4428546961130126,0.6896055604461341,-0.7091399635591877,-0.6444777325923298
21,1,1.3508309132019929,0.255515454197728,0.2380210510753232,-0.1748640819154023,0.0339163526156995,1.2113122316516896,1.317550823316776,0.6896055604461341,-0.7091399635591877,-0.7046047559404663
22,1,0.3576752666353595,-0.3870752393318478,-0.3299729505297482,0.1584366125019745,-0.2640620992685877,-0.3612919081772678,0.6366106676759918,0.6896055604461341,-0.7091399635591877,-0.3119233318520186
23,1,-0.3648781784653556,-0.3870910637939423,-0.3303096420170029,-0.2281533656906793,-0.2643081621470043,-0.3628125462397797,-0.3875342105660793,0.6813664030424385,-0.7091399635591877,-0.3345637542238477
24,1,-0.7275483929641446,-0.3870915591946232,-0.3303100057902174,-0.0395950652951522,-0.2643086436571058,-0.3628130922318531,-0.5400484791921171,0.5349220246735266,-0.7091399635591877,-0.6359411798947541
25,1,-0.6661790075552202,-0.3870915379131331,-0.3303100119498083,-0.131736254834189,-0.2643087728322207,-0.362813165621599,-0.659910272822393,-0.0508554888021208,1.1604642636718838,-0.6804797157081885
26,1,-0.5713379455449704,-0.3870915009216441,-0.3303099665085384,-0.051575017262156,-0.2643086449513221,-0.3628130728845318,-0.4746891084089337,0.6033601869784174,-0.7091399635591877,-0.0829210268779431
27,1,-0.3146567286438833,-0.3870908997295905,-0.3303094345988251,-0.0926570371613118,-0.2643013266510502,-0.3628124025518238,-0.2840258648295141,0.6877451055485253,-0.7091399635591877,-0.2666424871083603
28,1,-0.3593042106716295,-0.3870910140657025,-0.3303093358156395,5.210062891601648,-0.2643039299979987,-0.3628126206014858,-0.3439431564467372,0.6892068915395037,-0.7091399635591877,-0.6771393255221809
29,1,1.096950615117253,-0.3044993408177867,-0.2468856512783198,-0.0801118772040699,-0.1459752006418772,-0.238871798366271,1.0942078943457647,0.6896055604461341,-0.7091399635591877,-0.5041813447800105
30,1,0.9100554749936166,-0.3713800474776305,-0.3141404522986213,-0.0059774770062065,-0.0491352560253639,-0.325612454694041,0.9525777840516476,0.6896055604461341,-0.7091399635591877,-0.4436831669667621
