f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,ic.eps.ratio,ic.eps.max,disp.diff_mean_05,disp.ratio_median_10,ic.h.max
16,1,-0.2537381619255012,-1.431249505069533,-0.3163821946397228,-0.3104914490249523,1.4275086135387989,-1.4743976944970285,-0.3644911283208446,0.8452015371169,0.8558450929698611,0.2009559081624161
17,1,-0.0518951426324732,1.3922272259832364,-0.1661765329452193,0.0126500979106291,-0.7091399635591878,1.4255692016297388,0.1110347389028856,0.6208105942653803,0.6860520970451298,-0.584710955814754
18,1,-0.1278475026901155,1.403420283459586,0.147252704089247,0.3424383122417696,-0.7091399635591878,1.511877569129255,0.831077599251717,0.2927242164479819,0.1462821450198189,0.4974496401284311
19,1,-0.2537378248264325,-0.2099750038250748,-0.3163801450637897,-0.3104907449066377,-0.7091399635591878,-0.2373110936706299,-0.3644901015108551,-0.1736818853235193,-0.1959465393732188,-1.5015991353399063
20,1,0.3334544734024635,1.5490979265142704,1.53165071560467,1.031136084407152,-0.7091399635591878,1.6097109633911109,1.8123904638727268,0.9112855632089724,0.8664158631441636,-0.4642863307865392
22,1,-0.2534917460121052,0.719972193953705,-0.3148222300294148,-0.3101544937097599,-0.7091399635591878,0.4330373457428617,-0.364474808763187,0.1367761015548572,-0.0010479642845194,-3.1011703615767248
23,1,-0.2537375308787819,-0.3332385492833701,-0.3163815537643066,-0.3104909456320608,-0.7091399635591878,-0.3120944344078065,-0.3644906140764556,-0.4864924117623788,-0.5897077283659805,0.2350070090324625
24,1,-0.253738011844854,-0.4900812671707128,-0.3163821136466481,-0.3104913091464411,-0.7091399635591878,-0.6860973602390432,-0.3644911088776633,-1.1311404372166736,-1.2365067284061038,-0.5597955161537433
25,1,-0.2537381408740217,-0.6133448126290081,-0.31638218890346,-0.3104913153016492,1.1604642636718838,-0.6228103055490882,-0.3644910876219253,0.2706328888804665,0.2149921511527836,-0.0290966513742379
26,1,-0.2537380131376081,-0.4228669570252361,-0.3163820938071228,-0.310491269892712,-0.7091399635591878,-0.5250056520023505,-0.3644910506751989,-0.398417254996228,-0.0915601839019833,-0.4833881678599815
27,1,-0.2537307031058461,-0.2267925726832894,-0.3163814064208685,-0.3104907383614665,-0.7091399635591878,-0.2603036657650731,-0.3644904502106343,-0.014066146643555,0.0531272328587797,-0.836356896390951
28,1,-0.2537333035114285,-0.2884103540905917,-0.3163816300178058,-0.3104906396485678,-0.7091399635591878,-0.3063462913841956,-0.3644905644083907,1.2976009481600608,1.239696184924214,0.2374985529985651
29,1,-0.1355382667144478,1.1905563129031151,-0.18928770109554,-0.2271263132829974,-0.7091399635591878,1.1954135549643623,-0.2819988334878988,1.18482516972648,1.2383748386524265,-0.4136249368091531
30,1,-0.0388077357635193,1.0449066524921216,-0.2782350762313168,-0.2943332607224835,-0.7091399635591878,1.002678319382692,-0.3487986093078591,0.5055820793778799,0.5605242012252906,-1.020731149882422
