f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,ic.eps.s,pca.expl_var.cov_init,pca.expl_var_PC1.cov_init,ela_distr.skewness
19,1,-0.3303094543657377,-0.3870905617830941,-0.3228000572289921,-0.2643084581346261,-0.3628111732492384,-0.504078237121436,-0.2965442059703611,-0.6548570506842823,0.6449254217742378,-0.182877032717337
20,1,1.0122726631365442,1.7924273974850875,1.5044228920553906,0.3235480242469645,1.43937140451407,-0.6938756739063584,1.4490365127794311,-0.6548570506842823,0.6463192316062943,-0.1659102869952937
21,1,0.238021040095344,0.2555154454396541,1.353573575048804,0.0339163510340189,1.211312231274675,-0.7508149049418351,1.321164804304767,-0.6548570506842823,0.6463192316062943,-0.1722267780763293
22,1,-0.3299729637455048,-0.387075250507538,0.3403625984795421,-0.2640621009759655,-0.3612919089380513,-0.3789525195373022,0.6262702321921803,-0.6548570506842823,0.6463192316062943,0.1607977837587984
23,1,-0.3303096552340848,-0.3870910749696921,-0.3967817597737359,-0.2643081638544859,-0.3628125470009342,-0.4003926003593027,-0.4188623114710981,-0.6548570506842823,0.6376776106475428,-0.2254719128060701
24,1,-0.3303100190073008,-0.3870915703703748,-0.7667755703866306,-0.2643086453645876,-0.3628130929930077,-0.6857917090062593,-0.5745020348153957,-0.6548570506842823,0.4840797671548938,-0.0370698289779395
25,1,-0.3303100251668917,-0.3870915490888845,-0.7041669197319318,-0.2643087745397026,-0.3628131663827536,-0.7279689171806863,-0.6968201403161328,1.2718084125956748,-0.1303116068157013,-0.1291346814885059
26,1,-0.3303099797256216,-0.3870915120973954,-0.6074106807773726,-0.264308646658804,-0.3628130736456864,-0.1620913741737895,-0.5078032630985353,-0.6548570506842823,0.5558609735058143,-0.0490398558078905
27,1,-0.3303094478159061,-0.3870909109053396,-0.3455461610090823,-0.2643013283585289,-0.3628124033129782,-0.3360723578933014,-0.3132327829070109,-0.6548570506842823,0.6443678978414149,-0.0900878401216761
28,1,-0.3303093490327201,-0.387091025241452,-0.3910952338287133,-0.2643039317054785,-0.3628126213626403,-0.7248056265676043,-0.3743779516499447,-0.6548570506842823,0.6459010886566774,5.20823889723365
29,1,-0.2468856641670224,-0.3044993516828018,1.094566534567888,-0.145975202299442,-0.2388717990971798,-0.5610174681569124,1.0932449382548126,-0.6548570506842823,0.6463192316062943,-0.0775530735643634
30,1,-0.3141404654520569,-0.3713800585942707,0.9038973196312804,-0.0491352576420783,-0.3256124554461174,-0.503726760386649,0.9487124208583684,-0.6548570506842823,0.6463192316062943,-0.0034800921505079
