f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cov_init,ic.eps.s,ela_distr.skewness,pca.expl_var.cov_init,ic.eps.max,ela_meta.lin_simple.coef.max,disp.ratio_mean_25,ela_meta.lin_w_interact.adj_r2
17,1,1.380714115354829,-0.0063783506567526,0.6997709232301089,1.3717557831379317,-0.0774531810636437,-0.7091399635591878,0.0891611019799089,-0.2145077582871387,0.7659135299126539,0.9616641885406284
18,1,1.4653135614048047,0.3235853089199811,0.6997709232301089,1.3828427173316111,-0.2228514000771455,-0.7091399635591878,0.8100330466355429,0.090970117748195,-0.1850782636086604,-0.4288996314258343
19,1,-0.249240846203443,-0.3296911023599821,0.6984363607696544,-0.2152556946808577,-0.1577808676871223,-0.7091399635591878,-0.3869112755380688,-0.3609008671015866,-0.3203441973234172,0.449515668685446
20,1,1.561209836581001,1.012649463947232,0.6997709232301089,1.527139165862352,-0.1407765232108034,-0.7091399635591878,1.7924758316278575,1.44024744792517,0.6564617056854458,0.4108660533463426
21,1,1.411745180897303,0.2385371406943953,0.6997709232301089,1.3995008359576149,-0.1471070118020234,-0.7091399635591878,0.2556561514350378,1.2123191565994729,0.3291387973833209,1.1442219460997969
22,1,0.4078345716019623,-0.3293546722795929,0.6997709232301089,0.7058745154655318,0.1866555412114527,-0.7091399635591878,-0.3868959651817584,-0.3593824746878883,-0.3730049806780187,-0.3481466053343465
23,1,-0.3225434631271981,-0.32969130319219,0.6914966359752902,-0.3373505574887549,-0.2004701391491976,-0.7091399635591878,-0.3869117886938564,-0.3609022400648939,-0.877928962254481,0.1875206166208009
24,1,-0.6891410626770926,-0.3296916668999575,0.5444278528331894,-0.492706222877691,-0.0116505513535474,-0.7091399635591878,-0.3869122840647968,-0.3609027857436255,-1.2341636731826602,0.9878143538126172
25,1,-0.6271071032358517,-0.3296916730584402,-0.0438472797352129,-0.6148010856855882,-0.1039194219960328,1.1604642636718838,-0.3869122627845842,-0.3609028590912534,0.1164305352059158,0.8420970806617849
26,1,-0.5312389997033619,-0.3296916276253457,0.6131578195466032,-0.4261291830446447,-0.0236471040774337,-0.7091399635591878,-0.3869122257953159,-0.3609027664074075,0.0771930887848407,0.0761768311545328
27,1,-0.2717781611684715,-0.329691095811329,0.6979025357854723,-0.2319138133068614,-0.0647860518028838,-0.7091399635591878,-0.3869116246393539,-0.3609020964593996,0.2847385290647365,0.5633264508754867
28,1,-0.316909134385941,-0.3296909970459156,0.6993705544919725,-0.2929473860430679,5.245281916801662,-0.7091399635591878,-0.3869117389686019,-0.3609023143839242,0.9177004936994428,-1.333465096809104
29,1,1.1551155925548944,-0.2462823213856241,0.6997709232301089,1.1719969463033086,-0.0522235078735628,-0.7091399635591878,-0.3043250239807532,-0.2370326210793072,1.2450234020015676,0.8241702378023712
30,1,0.9661965498605428,-0.3135250224963656,0.6997709232301089,1.027728215108052,0.0220136212131734,-0.7091399635591878,-0.3712017155634827,-0.3237234974394065,0.6068986154693499,0.7764749678094353
