f_id,i_id,similar_instances
13,2,"[(3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (7, 5), (14, 1), (14, 2), (14, 5), (15, 1), (15, 2), (15, 4)]"
13,3,"[(1, 5), (3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (7, 4), (7, 5), (14, 1), (14, 2), (14, 3), (14, 5), (15, 1), (15, 2), (15, 4)]"
13,4,"[(3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (7, 2), (7, 4), (7, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 4)]"
13,5,"[(3, 1), (3, 4), (5, 3), (7, 4), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 4)]"
14,1,"[(1, 2), (1, 3), (1, 4), (3, 1), (7, 4), (15, 4), (17, 3), (18, 3)]"
14,2,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (7, 4), (15, 4), (17, 3)]"
14,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (15, 4), (17, 3), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
14,4,"[(17, 1), (17, 3), (17, 4), (18, 3)]"
14,5,"[(1, 2), (3, 1), (15, 4), (17, 3)]"
15,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (13, 3), (13, 4), (14, 5)]"
15,2,"[(3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 3), (7, 4), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 4), (14, 5)]"
15,3,"[(3, 2), (3, 3), (13, 2), (14, 1), (14, 2), (14, 5)]"
15,4,"[(1, 2), (1, 3), (3, 1), (3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 3), (5, 4), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5)]"
15,5,[]
16,1,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,2,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,3,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,4,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,5,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
17,1,"[(18, 1)]"
17,2,"[(18, 2), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
17,3,"[(18, 3)]"
17,4,"[(18, 2), (18, 4)]"
17,5,"[(18, 2), (18, 4), (18, 5)]"
18,1,"[(17, 1)]"
18,2,"[(17, 2), (17, 4), (17, 5)]"
18,3,"[(17, 3), (17, 4)]"
18,4,"[(17, 2), (17, 4), (17, 5)]"
18,5,"[(17, 2), (17, 4), (17, 5)]"
19,1,"[(24, 2)]"
19,2,"[(24, 2)]"
19,3,[]
19,4,[]
19,5,"[(24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
20,1,"[(3, 3), (6, 1), (6, 2), (6, 3), (6, 4)]"
20,2,"[(3, 3), (6, 1), (6, 3), (6, 4)]"
20,3,"[(3, 3), (6, 1), (6, 3), (6, 4)]"
20,4,"[(3, 3), (6, 1), (6, 3), (6, 4)]"
20,5,"[(3, 3), (6, 1), (6, 3), (6, 4)]"
21,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,3,"[(18, 2), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,4,"[(16, 3), (18, 2), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (18, 2), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
22,1,"[(17, 2), (18, 2), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,2,"[(17, 2), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,3,"[(19, 1), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,4,"[(17, 2), (18, 2), (19, 1), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,5,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
23,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,3,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,4,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
23,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5)]"
24,1,"[(17, 3), (17, 4), (18, 3), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,2,"[(17, 3), (17, 4), (18, 3), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,3,"[(17, 3), (17, 4), (18, 3), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,4,"[(17, 3), (17, 4), (18, 3), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,5,"[(17, 3), (17, 4), (18, 3), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
