f_id,i_id,similar_instances
16,5,"[(21, 1), (21, 2), (21, 4), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
17,1,"[(18, 1)]"
17,2,"[(18, 2)]"
17,3,"[(18, 3)]"
17,4,"[(18, 4)]"
17,5,"[(18, 2), (18, 5)]"
18,1,"[(17, 1)]"
18,2,"[(17, 2), (17, 4), (17, 5)]"
18,3,"[(17, 3)]"
18,4,"[(17, 4), (17, 5)]"
18,5,"[(17, 5)]"
19,1,"[(9, 1), (9, 2), (9, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,2,"[(9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,3,"[(9, 1), (9, 3), (9, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,4,"[(9, 2), (9, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,5,"[(24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
20,1,"[(3, 4), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5)]"
20,2,"[(3, 4), (8, 2), (8, 3), (8, 5)]"
20,3,"[(3, 4), (8, 2), (8, 3), (8, 4), (8, 5)]"
20,4,"[(3, 4), (8, 2), (8, 3), (8, 4), (8, 5)]"
20,5,"[(8, 2), (8, 3), (8, 5)]"
21,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,3,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
21,4,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,5,"[(22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 3), (23, 4), (23, 5)]"
22,1,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,2,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,3,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,4,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
22,5,"[(21, 1), (21, 2), (21, 3), (21, 4), (21, 5)]"
23,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2), (21, 4)]"
23,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2), (21, 4)]"
23,3,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2), (21, 4)]"
23,4,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2), (21, 4)]"
23,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2), (21, 4)]"
24,1,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,2,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,3,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,4,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,5,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
