f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.s,ela_level.mmce_qda_50,ic.eps.ratio,pca.expl_var.cov_init,ic.eps.max,ela_distr.kurtosis,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cov_init
13,1,-0.3303101732942157,-1.1883089494413095,-0.5832372458488567,-1.1515879928718582,1.4275086135387989,-0.3870915777774223,-0.2000826078151961,0.0590260461213516,1.4576761132174123,-1.6472586805859126
14,1,-0.3303101475413936,-0.8668997538996934,-0.2659001781781363,-0.8112415193869421,1.6945529634057133,-0.387091563560744,-0.1994973053606969,-0.344986042380418,1.117724049742661,-1.4909804691867836
15,1,-0.3140984533977152,1.1105341318436457,-0.061022913436338,0.8737689446564598,-0.7091399635591877,-0.3825659598793203,-0.0732121814986026,1.3289404479007898,-0.4557907900173791,0.6896055604461341
16,1,-0.3303101457683268,-1.455242932531663,2.413835059930169,-1.4919623361957428,1.4275086135387989,-0.3870915786613609,-0.1913674901129967,-1.77113358325277,-1.644759392618219,-1.6525742660076517
17,1,-0.0069385113087582,1.2903132170911449,-0.8252299571018504,1.3201322855780462,-0.7091399635591877,0.0890104088763728,-0.1888139737353886,0.5417221368781469,-1.033944830531945,0.6896055604461341
18,1,0.3230845231945178,1.3011973754230657,-0.4121350374322461,1.4038254120008438,-0.7091399635591877,0.8099256325336862,-0.1985276389321406,-0.4138345443535668,0.5576275091355295,0.6896055604461341
19,1,-0.3303094411486566,-0.2676724169358034,-0.4440543214318741,-0.2923608574689789,-0.7091399635591877,-0.3870905506073464,-0.1966693164409964,0.4509329035069626,1.2089536797097882,0.6882766640906994
20,1,1.0122726710688603,1.4428546961130126,-0.6444777325923298,1.498694343850062,-0.7091399635591877,1.7924274004608438,-0.1952795431588345,0.3877587286195138,-0.0949548353453332,0.6896055604461341
21,1,0.2380210510753232,1.317550823316776,-0.7046047559404663,1.3508309132019929,-0.7091399635591877,0.255515454197728,-0.196035366800865,0.7509156621042504,0.909513224723021,0.6896055604461341
22,1,-0.3299729505297482,0.6366106676759918,-0.3119233318520186,0.3576752666353595,-0.7091399635591877,-0.3870752393318478,-0.1549758107307574,1.1628718085259986,0.237303162951468,0.6896055604461341
23,1,-0.3303096420170029,-0.3875342105660793,-0.3345637542238477,-0.3648781784653556,-0.7091399635591877,-0.3870910637939423,-0.198220188718946,0.0431379302813935,1.0004288112134974,0.6813664030424385
24,1,-0.3303100057902174,-0.5400484791921171,-0.6359411798947541,-0.7275483929641446,-0.7091399635591877,-0.3870915591946232,-0.185468993251329,1.1076416915585283,0.1832876849674894,0.5349220246735266
25,1,-0.3303100119498083,-0.659910272822393,-0.6804797157081885,-0.6661790075552202,1.1604642636718838,-0.3870915379131331,-0.1906304084393254,0.2440091091151387,-1.023110330587484,-0.0508554888021208
26,1,-0.3303099665085384,-0.4746891084089337,-0.0829210268779431,-0.5713379455449704,-0.7091399635591877,-0.3870915009216441,-0.1844397212184825,0.673744813738744,-0.2135062477811008,0.6033601869784174
27,1,-0.3303094345988251,-0.2840258648295141,-0.2666424871083603,-0.3146567286438833,-0.7091399635591877,-0.3870908997295905,-0.1868188246337087,0.4925446354687554,-0.1808457262093926,0.6877451055485253
28,1,-0.3303093358156395,-0.3439431564467372,-0.6771393255221809,-0.3593042106716295,-0.7091399635591877,-0.3870910140657025,5.289995117029044,1.859679174649837,-1.3070056334800246,0.6892068915395037
29,1,-0.2468856512783198,1.0942078943457647,-0.5041813447800105,1.096950615117253,-0.7091399635591877,-0.3044993408177867,-0.1841745684530059,0.5284820403448494,0.2639968584668067,0.6896055604461341
30,1,-0.3141404522986213,0.9525777840516476,-0.4436831669667621,0.9100554749936166,-0.7091399635591877,-0.3713800474776305,-0.1755513171203053,0.9389250328770776,0.1839157719207914,0.6896055604461341
