f_id,i_id,ic.eps.s,ic.eps.ratio,disp.diff_median_25,ela_level.qda_mda_25,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,ela_meta.lin_w_interact.adj_r2,ic.eps.max,disp.ratio_mean_10,pca.expl_var.cov_init
11,1,-0.4678922204455822,-0.4033973067303153,1.1126306851776977,0.7918957769334244,-0.3078320522604605,1.03691699783685,-1.6899188164142105,-0.3491755606007642,1.0672776523137222,-0.7091399635591878
12,1,-1.022026820885143,-0.9688753659436222,1.385152167483761,0.7884219193774452,-0.307832424950704,1.03691699783685,-1.7931719429700204,-0.3491758565011432,1.2880804740513128,1.4275086135387989
13,1,-1.1563734960509984,-1.1246556365882665,-1.2600116454486543,-0.1321503329571249,-0.3078324156594369,-1.6228947030924252,0.9370166471880624,-0.3491758586783728,-1.4087278769039433,1.4275086135387989
14,1,-0.8261127411999922,-0.7726873359199229,-1.5991702929574028,-0.8046891557947577,-0.3078323899021732,-0.3746585826411582,0.3504718267462241,-0.3491758443235329,-1.605288252338,1.6945529634057128
15,1,1.205779366532172,0.9698612604122142,-1.1210285298632268,-0.2856948369314193,-0.2916178997618582,0.7586349548283282,-0.6874752697343944,-0.3446062595789259,-1.2829292366261478,-0.7091399635591878
16,1,-1.4306587995633904,-1.4766527587682927,0.9049261177190798,0.8040542783793536,-0.3078323881288007,1.03691699783685,-1.796920298302345,-0.3491758595709017,0.8405780193131106,1.4275086135387989
17,1,1.390509539855961,1.431466591521303,0.7987235107288849,0.2874916598051997,0.0155950175533389,1.03691699783685,0.9659757638458604,0.1315530182271411,0.6623632789195654,-0.7091399635591878
19,1,-0.2103827764752328,-0.2360884314126167,-0.2814810594240691,1.0093592599377423,-0.3078316833876062,-1.3234390263767333,0.4564916436629081,-0.3491748215259751,-0.2116751905105388,-0.7091399635591878
20,1,1.5472519875104431,1.6161260168719478,0.6796431325441508,1.5485019526257613,1.034981981130178,1.03691699783685,0.4180430989477526,1.851524285353221,0.8366468118044285,-0.7091399635591878
21,1,1.418497265525268,1.4632134866397255,0.3616313935580292,-3.613650375559788,0.2605968275955907,1.0974130941430502,1.147583783564253,0.2996762054438368,0.6033951662893491,-0.7091399635591878
22,1,0.718804123792587,0.4361445070731716,-0.3366406460131679,1.6214529613013309,-0.3074951347348716,0.345244963402626,-0.3370208749264682,-0.3491593614512837,-0.028874041356866,-0.7091399635591878
23,1,-0.3335455452797267,-0.3110820048108341,-0.8572682525637,0.2041190784616922,-0.3078318842905958,0.2595421603021755,0.1958595937427275,-0.3491753396998598,-0.5857951050866925,-0.7091399635591878
24,1,-0.4902600331683053,-0.6861363363369687,-1.1993953083440692,-1.2337105639582269,-0.3078322481265496,-0.0600788818489163,0.9919898855893056,-0.3491758399149809,-1.1892354576692463,-0.7091399635591878
25,1,-0.6134228019727993,-0.6226713676118054,0.1149094596935887,-1.0898928611406749,-0.3078322542872028,1.03691699783685,0.847030691471741,-0.3491758184266714,0.2214128366958325,1.1604642636718838
26,1,-0.4231006754683292,-0.5245917633557972,0.0919583030166479,-0.167236294272518,-0.3078322088380957,0.1335086263309246,0.0850950627973649,-0.349175781075689,-0.093083763998658,-0.7091399635591878
27,1,-0.2271865957831785,-0.259145640758725,0.3084480787831901,0.3830227425946365,-0.307831676836645,-1.390993000585324,0.5697103370368977,-0.3491751740410854,0.0674405426058211,-0.7091399635591878
28,1,-0.2887540003024738,-0.305317702474307,0.9584894847658918,-0.5045478629581274,-0.3078315780364224,-1.255885052168143,-1.3172133489200664,-0.3491752894883472,1.1740754562995597,-0.7091399635591878
29,1,1.1890035069901292,1.2006639259667584,1.2673559659232725,-0.311748768601265,-0.2243935055924894,-1.7015396282904858,0.8291971111570521,-0.2657809676093896,1.2035595126146674,-0.7091399635591878
30,1,1.0434729254629125,1.0073868686230054,0.6317805495769344,-0.9585810455246492,-0.291659905906226,-0.9826443505184712,0.7817499708702649,-0.3333116393992834,0.5228054123613861,-0.7091399635591878
