f_id,i_id,ic.eps.s,ic.eps.ratio,pca.expl_var.cov_init,disp.diff_mean_05,ela_level.qda_mda_25,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_x,ela_distr.kurtosis,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_lda_50
19,1,-0.215683253314814,-0.2434510932725845,-0.7091399635591878,-0.1603885812385545,0.9962405841041732,-1.4202695817445763,0.8477012734170075,-0.1960920463812941,0.5044314538179804,-0.9045437442229414
20,1,1.5255337243296738,1.5819166759342984,-0.7091399635591878,0.941440830171038,1.536226327921514,-1.0631450498110648,-0.6804521032563533,-0.1947024214959125,0.4656014616062741,0.5073109634318274
21,1,1.3979816796920828,1.4312205162902136,-0.7091399635591878,0.7554470582292131,-3.633997997546073,0.0499066950251913,-0.9462179078951882,-0.1954581644328407,1.2023799095722203,-1.473063880226313
22,1,0.7048242601360116,0.4190382531676448,-0.7091399635591878,0.1548943716392383,1.6092914092370043,-1.0655967056366935,-1.3448666148534685,-0.1544029926072703,-0.2969534918278689,-0.7541265044778486
23,1,-0.3376955783155929,-0.3173576821697495,-0.7091399635591878,-0.4780606355430774,0.1897412579646128,-0.3472615487269525,1.4456743338544185,-0.1976427530606849,0.2412136768254365,-0.5295699617304352
24,1,-0.4929462211372424,-0.6869758379417742,-0.7091399635591878,-1.132727423393156,-1.2503367018678468,0.2926206217626119,1.84432304081268,-0.1848929191362608,1.0452423666218698,-1.2602698230513831
25,1,-0.6149585461380214,-0.6244307538712295,1.1604642636718838,0.29083148698002,-1.106294112988736,-0.0890204684272047,0.581935468778025,-0.1900537832002679,0.8988450342832671,1.341021683251192
26,1,-0.4264141882991332,-0.5277727515587574,-0.7091399635591878,-0.388616663495146,-0.1821947988271006,0.644841842044863,-0.4811277497772225,-0.1838637570067041,0.1293502524538405,0.2136052630764802
27,1,-0.2323301108234332,-0.266174102925825,-0.7091399635591878,0.0017078168048431,0.3689246716668875,-0.7321715133509434,1.9107644919724027,-0.1862426063867641,0.6187733883307491,-0.4311928096696636
28,1,-0.2933224240247308,-0.3116769297564394,-0.7091399635591878,1.3337601147678797,-0.5200338176715834,-0.364423139506366,0.0504038595004658,5.289986533736379,-1.2868704422122563,-1.270606552796899
30,1,1.026460382249302,0.9820008173266804,-0.7091399635591878,0.5294321276048367,-0.9747769666208524,-0.3113039299510381,1.4456743338544185,-0.1749763019917816,0.8329166645280728,-1.1522688191585797
