f_id,i_id,disp.diff_median_25,ic.eps.s,pca.expl_var.cov_init,ic.eps.ratio,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ic.eps.max,ela_level.qda_mda_25,ela_meta.lin_simple.adj_r2,disp.diff_median_02
13,1,-1.300253900842733,-1.18110130973478,1.4275086135387989,-1.147070216669999,0.0915691072564792,-0.3303101661926078,-0.3870915685739101,-0.1291003968270588,1.7727853071199078,-1.5132867308000753
14,1,-1.6437301590823052,-0.8603741103773463,1.6945529634057128,-0.8071503507415958,-0.5445323096281581,-0.3303101404397857,-0.3870915543572317,-0.8019756919865774,0.7156611688940281,-1.583671850126633
15,1,-1.1595014805509003,1.1128638706337788,-0.7091399635591878,0.8757480356022674,0.4860479116677056,-0.3140984463303947,-0.3825659506898299,-0.2827217193789737,-0.4855662597663888,-1.4174513541449665
16,1,0.8922442933695272,-1.4474688872573351,1.4275086135387989,-1.4870179175038991,-0.6114837407788084,-0.3303101386667189,-0.3870915694578486,0.807572599275681,-1.2291832394133135,0.7379087185646986
17,1,0.7846896892565977,1.2922614837521804,-0.7091399635591878,1.3215518820409593,-0.398322739884774,-0.0069385048910737,0.0890104166047577,0.2907515435410706,-1.1188140525919503,0.6371038921176854
18,1,-0.1905295856976679,1.3031225470558527,-0.7091399635591878,1.405140103248214,1.220817901877168,0.3230845289142114,0.8099256380284282,0.1169717668986335,-0.8214405957410353,0.4336918224274595
19,1,-0.3092662709252878,-0.2624182701936856,-0.7091399635591878,-0.2889200801999146,2.5434002472516304,-0.3303094340470502,-0.3870905414038372,1.012980295267042,1.0960865221404208,-0.1367987007743252
20,1,0.664093375321861,1.4444792859531437,-0.7091399635591878,1.499890121559734,0.7853083356454843,1.0122726753309372,1.792427402911458,1.552392721965168,-0.6151858861496176,0.8335243688825993
21,1,0.3420332333041196,1.3194412946696197,-0.7091399635591878,1.352212030445818,2.164108408339508,0.2380210569749241,0.255515461410223,-3.612342239848078,1.3751262270276547,0.6496002080172742
22,1,-0.3651280587547627,0.6399460217336415,-0.7091399635591878,0.3603012556102783,2.636666218578842,-0.3299729434288534,-0.3870752301283862,1.6253802281549914,0.0448291845429191,0.2151169833921218
24,1,-1.238865896114549,-0.5342163793680769,-0.7091399635591878,-0.7235621295343411,-0.4936390714101311,-0.3303099986886099,-0.387091549991111,-1.2312117402933982,0.7867961265131129,-1.125296277466069
25,1,0.0921704410920961,-0.6538238389997646,1.1604642636718838,-0.6622696676301203,-0.6425404363501533,-0.3303100048482007,-0.3870915287096209,-1.0873220852334593,-1.2002159113106967,0.2395859065529904
26,1,0.0689271079924662,-0.4689956942295266,-0.7091399635591878,-0.5675474842240972,-0.3967551091184838,-0.3303099594069309,-0.387091491718132,-0.1642039117088312,0.1023971657088793,-0.7872563940982269
27,1,0.2881728759350275,-0.2787370178074527,-0.7091399635591878,-0.3111880045974516,-0.7304389358182004,-0.3303094274972187,-0.3870908905260803,0.3863304206944116,0.0613295613102326,0.0449381091852551
28,1,0.9464895412117696,-0.338527171294167,-0.7091399635591878,-0.3557795232035197,-0.7220122488438027,-0.3303093287140333,-0.3870910048621919,-0.5016842379484442,-0.8544413492756623,1.4107983232165509
29,1,1.259288003001909,1.0965722756782703,-0.7091399635591878,1.0986499588216134,-0.1944927170583733,-0.2468856443531527,-0.3044993318701735,-0.3087886858753388,0.9263159789567296,0.9899001337106896
30,1,0.615621484576877,0.955242689439239,-0.7091399635591878,0.9119890825592588,-0.6851718925966166,-0.3141404452312119,-0.3713800383227979,-0.9559445740917764,0.7952296524164063,0.4076385567298769
