f_id,i_id,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,disp.diff_median_25,disp.diff_mean_05,disp.ratio_median_10,ic.m0,ic.eps.max,pca.expl_var.cov_init,ela_level.qda_mda_25
15,1,1.1103038505096776,0.8692355823232744,0.6921215851505006,-1.1867416616511706,-1.442538642605516,-1.3453837996968332,-0.2746383986626333,-0.3825659703023663,-0.7091399635591878,-0.3415449020047866
16,1,-1.4562422558839818,-1.5098916495438526,-1.652278831096779,0.8917883249572066,0.7930540157688548,0.8094570962666386,1.9080180993412987,-0.387091589100311,1.4275086135387989,0.7789918779036605
17,1,1.2901368210586297,1.3181264552169998,0.6921215851505006,0.7828296651231708,0.5652256167151694,0.6358539269053178,-0.2997389483896781,0.0890104001105656,-0.7091399635591878,0.2478352978195475
18,1,1.301024241706364,1.4022934938845732,0.6921215851505006,-0.2051204660657113,0.2321132670829425,0.0839714780018216,-0.3575793455867807,0.8099256263013576,-0.7091399635591878,0.0692352372667196
19,1,-0.2683157890096858,-0.3034974286419648,0.6907914288859633,-0.325407181843618,-0.2414377333501918,-0.2659368555746922,-0.5802103083831813,-0.3870905610462929,-0.7091399635591878,0.9900971494771036
20,1,1.4427240214366266,1.4976996209656326,0.6921215851505006,0.6606590443893814,0.8601503863988464,0.8202650756821297,-0.2440812076905767,1.792427397681275,-0.7091399635591878,1.5444717374330823
21,1,1.3173825912295845,1.3489989137892051,0.6921215851505006,0.3343946157335192,0.6741973455771204,0.5723570478393091,-0.5703883541421647,0.2555154460170616,-0.7091399635591878,-3.763522062196981
22,1,0.636238336955704,0.3502195243658559,0.6921215851505006,-0.3819982091458249,0.0737761751306584,-0.0666647351015807,-0.4634381857399742,-0.3870752497707405,-0.7091399635591878,1.61948376286527
23,1,-0.3882135088928604,-0.3764253788960528,0.6838746163103684,-0.9161365687398126,-0.5590402200640322,-0.6685340888017238,-0.468894826984981,-0.3870910742328907,-0.7091399635591878,0.1621072687541905
25,1,-0.6606712106024127,-0.6794323236296983,-0.049041485449774,0.0812700265413444,0.2096835213511463,0.1542233442025113,-0.5496531174111272,-0.3870915483520831,1.1604642636718838,-1.168463182364382
26,1,-0.4753945297295933,-0.5840542242005433,0.6057944435820193,0.0577232667768565,-0.4696158355169594,-0.1592080588467207,-0.2080673754735134,-0.387091511360594,-0.7091399635591878,-0.2197396607077575
27,1,-0.2846741385329066,-0.3259195501651278,0.6902593663801481,0.2798311462705412,-0.0793768330967866,-0.0112738405971907,-0.6969824310263932,-0.3870909101685383,-0.7091399635591878,0.3460653311236035
28,1,-0.3446093891986843,-0.370819848515262,0.6917225382711394,0.9467417093892668,1.2523837562699895,1.2019218487916472,-0.6107674993552378,-0.3870910245046506,-0.7091399635591878,-0.5665809783013496
29,1,1.093972719538076,1.0936810187701371,0.6921215851505006,1.2636235525785753,1.137880359982924,1.2005708513647109,-0.9294353480638128,-0.3044993509664868,-0.7091399635591878,-0.3683349110877104
30,1,0.9523001583594324,0.9057275851022222,0.6921215851505006,0.6115543844935587,0.4482319103803988,0.5075091713463658,-0.6467813315723011,-0.3713800578613663,-0.7091399635591878,-1.0334415365864436
