f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ic.eps.s,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.mean_ratio
4,3,-0.236598483554584,-0.1808891070111596,-0.177378235430446,-0.095898518376665,0.6167504526668339,-0.1685169474759217,-0.1508996041483748,0.4260354431768261,0.4772148089074888,0.5414365282833701
4,4,-0.2365973017890067,-0.1808867328026902,0.0102549699995446,-0.0945715789104637,0.6339025109524478,-0.1685142957656449,0.0390859123256238,0.7101524616880648,0.6303267743002855,0.4306837699187519
4,5,-0.2366030178833243,-0.1808871247756524,-0.0202980792470113,-0.0005247442434522,0.6415256479682765,-0.1685141971697975,0.0720909966207811,0.6603587574128997,0.4615911389694482,0.4559986861163757
5,1,-0.2366139365701016,-0.1808914791551155,-0.7794171359192872,-0.5175787703348145,0.6815471173013756,-0.1685182683446194,-0.8612102745355267,-3.311421418888545,-3.516195227255668,-0.4901463067699195
5,2,-0.2366139365701016,-0.1808903951592269,-0.7794171359192872,-0.5147439451115664,0.6815471173013756,-0.1685182683446194,-0.8612102745355267,-3.32899566745625,-3.566190971057398,-0.4711601196216946
5,3,-0.2366139365701016,-0.1808913554374849,-0.7794171359192872,-0.5199310721158076,0.6815471173013756,-0.1685182683446194,-0.8612102745355267,-3.32899566745625,-3.603687778908695,-0.4616670260475857
5,4,-0.2366139365701016,-0.180889929621125,-0.7794171359192872,-0.5210770652911632,0.6815471173013756,-0.1685182683446194,-0.8612102745355267,-3.314350460316496,-3.6161867148591273,-0.4806532131958035
5,5,-0.2366139365701016,-0.1808915251744238,-0.7794171359192872,-0.5227960550541966,0.6815471173013756,-0.1685182683446194,-0.8612102745355267,-3.3407118331680543,-3.656808256698033,-0.4838175777205135
6,1,-0.2293944121857059,-0.1798501189390061,0.9482466573535115,-0.2696823518763136,0.6040452243071198,-0.1681088377942978,0.8154892640138282,-1.4631962778515155,-1.3601287758060767,0.3041091889306188
6,2,-0.2300303460734166,-0.1800007512108046,0.9220956879556036,-0.2528241891125299,0.5800641057781594,-0.1682666325480698,0.7989454655108806,-1.0736337679340502,-1.0351564410948333,0.5256147056598482
6,3,-0.229719706625591,-0.1797574871167035,0.9482466573535115,-0.2938386817042039,0.5895930270479449,-0.1682433879411068,0.8154892640138282,-1.2962409164583133,-1.2570125542150097,0.4749848732646006
6,4,-0.2270938024292358,-0.1792997625584465,0.9918751912990218,-0.3291533661342411,0.6315202806350013,-0.1680794255499245,0.8526406120235643,-1.6155064321049697,-1.5601117510129952,0.408533218245824
6,5,-0.232266341187462,-0.1804488297664643,0.8435556098638863,-0.1929008091274883,0.4630171895142937,-0.168363647624171,0.749396582712776,-0.9037493651128904,-0.8195497959498745,0.4623274151657816
7,1,-0.2365942218213887,-0.180888993771314,-0.177378235430446,-0.1582345155729815,0.6731299035130649,-0.1685173778670409,-0.2252435565232163,0.3323061174823965,0.752191399816995,0.269301179158879
7,2,-0.236598483554584,-0.1808898024659792,-0.221006769375956,-0.1482070752886199,0.6701124117776328,-0.1685176603809633,-0.2665411682475319,0.988411397343402,1.1209100103547576,0.3927113956223091
7,3,-0.2365992242051984,-0.1808899618194857,-0.221006769375956,-0.0479929878752868,0.6688418889416615,-0.1685179464872816,-0.2499973697445842,0.7042943788321635,0.7553161338046097,0.4243550408693459
7,4,-0.2366035543002452,-0.1808902598192766,-0.2995032625186768,-0.2217768213749354,0.6615363826348261,-0.1685179908520852,-0.3491363916961627,-0.1597728424133579,0.0616251885556108,0.5730801735303999
7,5,-0.2366018679560548,-0.1808900359546522,-0.2733522931207688,-0.2127295068326543,0.6637597975977757,-0.1685177472051618,-0.3160900510456366,0.4084611946091201,0.7146945919657045,0.4781492377893035
8,1,-0.2318463580868321,-0.1804430759555608,0.8566310945628405,-0.2362977612152965,0.6613775672803296,-0.1683181689147018,0.749396582712776,-0.0133207710158119,0.0772488584936513,0.8167362419325571
8,2,-0.2304686310259749,-0.1802892303075837,0.904618123408002,-0.261358822497415,0.6701124117776328,-0.1682794980319911,0.7906941944370911,-0.4175284880730379,-0.2570976781804162,0.7597776804878965
8,3,-0.229719706625591,-0.1802237624385527,0.9264541828552548,-0.2951053057401233,0.6710653039046116,-0.1683236220893377,0.7906941944370911,-0.4761093166320563,-0.3914612396475646,0.7344627642902727
8,4,-0.2313858133228105,-0.1804043186145222,0.8784671540100936,-0.2808859430511716,0.6626480901163009,-0.1683522132949853,0.749396582712776,-0.2212827124003269,-0.1258588507008756,0.8072431483584482
8,5,-0.2313858133228105,-0.1803867948948943,0.8784671540100936,-0.2582073412651871,0.6640774283067689,-0.1683685093128897,0.749396582712776,-0.4614641094923017,-0.3664633677466999,0.7977500547843392
10,1,0.0655121399298259,-0.141107503883634,1.6550637752299715,-0.0743357520508952,0.6532779842010117,-0.1477725213716393,1.5588462750515062,0.4494677746004333,0.8646818233708874,-0.1895316769231016
10,2,0.0326965951824166,-0.145951220229576,1.646303200481672,-0.0317078216991809,0.6548661377459761,-0.1526338143021708,1.5547000113369274,1.1348634687409482,1.5583727686198865,-0.1926960414478046
10,3,-0.0460734898847589,-0.1584685759208667,1.5939576767368595,0.1087668154273029,0.6631245361797901,-0.1584680009156402,1.5257999344009805,0.9474048173520888,0.6803225181020148,-0.138901844527847
10,4,0.126688683607714,-0.1311730156967955,1.6899317344271825,0.108223976554766,0.6493076003386011,-0.1412103110889027,1.645567134037032,-0.2154246295444249,0.049126252605178,-0.2686407900406831
10,5,-0.0460734898847589,-0.160703660706585,1.576523697138254,0.1357278127633004,0.6655067664972366,-0.1653036482931383,1.5010048648242431,0.8536754916576602,0.699070922027664,-0.0914363766572953
11,1,-0.0852973641037739,-0.1671247067326486,1.5590461325906522,0.1512439572033125,0.6694771503596472,-0.1653154469865954,1.5010048648242431,0.6603587574128997,0.4615911389694482,-0.967965350000118
11,2,-0.0852973641037739,-0.1674011665817681,1.5546876376910006,0.1495852828705609,0.6694771503596472,-0.1670256325147177,1.492753593750454,0.6603587574128997,0.4615911389694482,-0.9932802661977488
11,3,-0.0706832213811572,-0.1609180213847803,1.5852406869375566,0.1084049228456116,0.6615363826348261,-0.1558841485219154,1.5340512054747693,0.672074923124703,0.464715872957056,-0.9141711530801604
11,4,-0.0628550914087435,-0.1585312605338199,1.602674666536162,0.066922985669253,0.659312967671876,-0.1549004622931051,1.542302476548559,0.7804494559588872,0.6022041684118121,-0.8730344142590217
11,5,-0.0852973641037739,-0.1672633890696226,1.5546876376910006,0.1782652699695918,0.6680478121691795,-0.1665074626586763,1.492753593750454,0.6603587574128997,0.4615911389694482,-1.0122664533459669
12,1,3.084092949082506,1.349587108026569,2.2658632504671115,4.009923609486181,-0.970450200170446,1.0387020648921612,2.5499889564350773,0.0774795132506606,0.2647328977501307,0.6775042028456121
12,2,6.39365138023962,1.8343511968007016,2.361837308157434,1.880231002805933,-0.1900315481750094,1.197252598491784,2.5251938868583403,-0.6108452223177991,-0.5008269292138484,0.4370124989681578
12,3,4.456878045377908,8.435349665759535,2.4752453454463623,4.25516614901228,-0.7730427145313891,8.87091023100123,2.9092492989878638,-1.132214596493062,-1.0757779829337395,0.3579033858505764
12,4,3.7564902752068665,5.383492818352564,2.396748852303641,4.476719803295173,-0.8491152693351768,5.149789019700811,2.8307797110761275,-0.4058123223612347,-0.2852202840688947,0.4623274151657816
12,5,5.028779049871275,2.4922002269243118,2.370554297956737,4.163064486971859,-1.0384231718949164,2.0546692584084254,2.6697355278934447,-0.6196323466016518,-0.5039516632014561,0.5509296218574791
13,1,-0.2366006069886937,-0.1808878764467073,-0.2646353033214661,-0.456660185750122,0.6685242582326687,-0.1685178035510423,-0.3656389338437413,-0.9886915665234672,-0.8601713377887797,0.7692707740620055
13,2,-0.2365992242051984,-0.1808876680317131,-0.2471577387738642,-0.4534031525149009,0.6688418889416615,-0.1685176672106269,-0.357387662769952,-1.2523052950390503,-1.0976511208469957,0.6047238187774366
13,3,-0.2366018679560548,-0.1808887258062919,-0.2820692829200714,-0.4639583528142287,0.6548661377459761,-0.1685179691738522,-0.3821827323466889,-0.0455402267232717,0.1647414101466781,0.8926809905254356
13,4,-0.2366018679560548,-0.1808868515142544,-0.2820692829200714,-0.4735485062290467,0.6526427227830262,-0.1685179499439989,-0.3821827323466889,-0.1187662624220447,0.1272446022953806,0.8736948033772177
13,5,-0.2366012520179021,-0.1808884239087112,-0.2733522931207688,-0.4322475153435337,0.6521662767195369,-0.1685180347222278,-0.3821827323466889,0.5754165560023228,0.6678235821515829,0.9559682810195022
14,1,-0.2366126594599731,-0.1808915631511084,-0.561274466191737,0.1018606986600284,0.5430601281804923,-0.1685181807433534,-0.5060755675196352,-0.930110737964449,-0.6976851704331589,0.3136022825047277
14,2,-0.2366125525940008,-0.1808917325036296,-0.5438404865931316,0.1059169113464843,0.4857277852072825,-0.1685181221117531,-0.473029226869109,-0.4233865709289399,-0.0914867768371867,0.272465543683582
14,3,-0.2366132841297017,-0.1808914587973565,-0.6223805646848489,0.1023432221022833,0.4734990029110577,-0.1685182162887996,-0.55562445031774,0.3498803660501025,0.5834557644861639,0.4844779668387095
14,4,-0.2366132067381228,-0.1808914948438864,-0.6136635748855462,0.3687715565148899,0.3116661566791999,-0.1685182243043649,-0.5225781096672139,0.1155570518140289,0.3334770454775154,0.4528343215916727
14,5,-0.2366125525940008,-0.1808915020914386,-0.5438404865931316,0.1785668471210012,0.5112970572812071,-0.1685181147774068,-0.4482341572923722,-0.9769754008116632,-0.8445476678507392,0.3325884696529456
15,1,-0.236605022823558,-0.1808885787197665,-0.2907862727193742,0.19752097108708,0.2886379302772183,-0.1685178602001437,-0.2417460986707949,0.1741378803730473,0.3022297056014343,0.7597776804878965
15,2,-0.2366040665669046,-0.1808896059494368,-0.2646353033214661,1.432419090678162,0.2066892073570624,-0.168517239440569,-0.1343970620007962,-0.2945087480990999,-0.0914867768371867,0.6015594542527266
15,3,-0.2365977078924792,-0.1808886338140368,-0.1686176606821468,1.584202870982497,0.1053650111883425,-0.1685164451878053,-0.0105042268278498,-0.836381412270025,-0.6383152246686046,0.4528343215916727
15,4,-0.2366066901712465,-0.1808904436044894,-0.3518923712124861,0.034669309326021,0.4214075666362301,-0.1685179032703486,-0.3160900510456366,0.0686923889668136,0.3397265134527317,0.7249696707161568
15,5,-0.2366060982981693,-0.1808906026135844,-0.3169808270662788,0.5532312211744301,0.1058414572518318,-0.1685179825271319,-0.2334948275970056,0.5344099760110038,0.6303267743002855,0.832558064556072
16,1,-0.2366131257261342,-0.1808915439906826,-0.6485315340827571,-0.2888023432756675,-2.496824572235595,-0.1685183184166556,-0.696019827638265,0.6603587574128997,0.4615911389694482,-2.762160035506902
16,2,-0.2366131257261342,-0.180892239103372,-0.6398145442834544,-0.2934315525498013,-2.498730356489552,-0.1685183184875785,-0.7042710987120543,0.6603587574128997,0.4615911389694482,-2.7431738483586843
16,3,-0.2366131257261342,-0.1808914987855933,-0.6485315340827571,-0.2910340141960969,-2.498730356489552,-0.1685183186214582,-0.696019827638265,0.6603587574128997,0.4615911389694482,-2.7273520257351693
16,4,-0.2366131257261342,-0.1808925044474609,-0.6398145442834544,-0.2962362200579085,-2.497618649008077,-0.1685183186312229,-0.696019827638265,0.6603587574128997,0.4615911389694482,-2.7653244000316053
16,5,-0.2366131257261342,-0.1808917535421451,-0.6485315340827571,-0.2911244873415197,-2.4993656179075376,-0.1685183185055661,-0.696019827638265,0.6603587574128997,0.4615911389694482,-2.7336807547845754
17,1,-0.2366134959875519,-0.1808916052205618,-0.6136635748855462,0.5941703194782518,0.0878953221937355,-0.1685182107434561,-0.4647779557953197,-1.3196732478819213,-1.285135160103482,-0.1072581992808172
17,2,-0.2366145661380314,-0.1808917154377015,-0.9277803023034192,0.7415812310871509,-0.1936843013284271,-0.1685183038941771,-0.7703637800131066,0.7570171245352735,0.6397009762631096,-0.1800385833489927
17,3,-0.2366144296698867,-0.1808912789809832,-0.8666742038103071,0.1372809350930587,0.2448048924362046,-0.1685182937010751,-0.7786150510868959,-0.0982629724263881,-0.1039857127876186,-0.4553382969981797
17,4,-0.2366144732425809,-0.1808916682723104,-0.8841517683579091,0.7189177081587372,-0.0293104094246265,-0.1685182950478381,-0.7208148972150018,-0.0308950195835171,0.0022552427910564,-0.3414211741088586
17,5,-0.2366146398666078,-0.1808919946808763,-0.9888428158475344,1.6057505584506964,-0.16335056861961,-0.1685183029559913,-0.729066168288791,0.7218686273998688,0.517836350746394,-0.3920510065041132
18,1,-0.2366086798205738,-0.1808908642855802,-0.3387733015645355,0.6834974717257069,0.0912304446381604,-0.1685178184952034,-0.1921972158726902,-1.2405891293272462,-1.282010426115874,-0.135737480003144
18,2,-0.2366133580286503,-0.1808915632250912,-0.6572921088310563,0.7305887439182795,-0.2094070214235733,-0.1685182598991487,-0.5225781096672139,0.7687332902470831,0.6365762422755019,-0.2591476964665741
18,3,-0.2366127614703372,-0.1808910530670004,-0.5874690205386416,0.1494646520099972,0.197636732150766,-0.1685182140937892,-0.5225781096672139,-0.0543273510071243,-0.0539899689858893,-0.6167208877580526
18,4,-0.2366130408381778,-0.180891463998402,-0.6136635748855462,0.7958349606256966,-0.0412215610118585,-0.1685182160397987,-0.4564854283661615,0.1009118446742743,0.0834983264688677,-0.3667360903064894
18,5,-0.2366137900499961,-0.180891860593176,-0.709637632575869,1.603835543539247,-0.1535040166408312,-0.1685182425022395,-0.4647779557953197,0.7072234202601142,0.4678406069446638,-0.4521739324734767
19,1,-0.2366138899307075,-0.1808918642243666,-0.7270716121744744,0.150459856609648,-0.2087717600055877,-0.168518309126792,-0.7042710987120543,0.6603587574128997,0.4615911389694482,0.8990097195748415
19,2,-0.2366139365701016,-0.1808915829702915,-0.7357886019737772,0.1364515979266828,-0.1601742615296814,-0.1685183100379962,-0.7125636261412125,0.6603587574128997,0.4615911389694482,0.9306533648218784
19,3,-0.2366139132504046,-0.1808913495636677,-0.7270716121744744,0.1431466106879709,-0.1560450623127745,-0.1685183106022953,-0.7125636261412125,0.6603587574128997,0.4615911389694482,0.9179959067230594
19,4,-0.2366138899307075,-0.1808917920930933,-0.7270716121744744,0.2007930831798716,-0.2302118328626053,-0.1685183114073723,-0.7042710987120543,0.6603587574128997,0.4615911389694482,0.9179959067230594
19,5,-0.2366139365701016,-0.1808926986061655,-0.7357886019737772,0.1352151316059045,-0.1695443674449706,-0.1685183105493602,-0.7125636261412125,0.6603587574128997,0.4615911389694482,0.9148315421983564
20,1,-0.2350376496790411,-0.1807177269854567,0.6515639095342445,-0.1612352082295046,0.6774179180844686,-0.1684547428816412,0.5676623373125665,0.9210434445005312,1.0990368724415014,0.7281340352408597
20,2,-0.235108708181999,-0.1807157829557529,0.6428469197349417,-0.1642359008860279,0.6774179180844686,-0.1684548874172418,0.5635367017756719,0.9415467344961878,1.0990368724415014,0.693326025469127
20,3,-0.2350376496790411,-0.1807168390412732,0.6428469197349417,-0.1605114230661222,0.6774179180844686,-0.1684547976710739,0.559411066238777,0.8800368645092179,1.074039000540636,0.7186409416667509
20,4,-0.2349632388897749,-0.1807170203536814,0.6515639095342445,-0.1638438505891957,0.6774179180844686,-0.1684545600495079,0.5635367017756719,0.9122563202166786,1.0584153306025954,0.7344627642902727
20,5,-0.2350376496790411,-0.1807164345424713,0.6515639095342445,-0.1538918045926866,0.6774179180844686,-0.1684553369454493,0.5676623373125665,0.9444757759241384,1.1334089463051902,0.7059834835679389
21,1,-0.236614753036352,-0.1808916016620504,-1.058665904139949,-1.255085694106425,-1.657167793012991,-0.1685183183470176,-1.0098981792852098,0.6603587574128997,0.4615911389694482,-0.6483645330050823
21,2,-0.2366147449862648,-0.1808916710262172,-1.058665904139949,-1.249325570514506,-1.6665378989282806,-0.168518318359352,-1.0016469082114208,0.6603587574128997,0.4615911389694482,-0.6198852522827556
21,3,-0.2366147365102471,-0.1808922736616074,-1.0411883395923474,-1.1927195391949676,-1.5131222664847332,-0.1685183187363223,-0.9933543807822623,0.6603587574128997,0.4615911389694482,-0.4015441000782221
21,4,-0.2366147449862648,-0.1808917215698884,-1.058665904139949,-1.238348162203205,-1.5358328621777222,-0.1685183181021283,-1.0016469082114208,0.6603587574128997,0.4615911389694482,-0.5344474101157611
21,5,-0.2366147276508919,-0.180890829244745,-1.0499489143406464,-1.2002740468377724,-1.5971355890133427,-0.1685183188648057,-1.0016469082114208,0.6603587574128997,0.4615911389694482,-0.4679957550969916
22,1,-0.2366148677394462,-0.180893290902122,-1.2157024753743872,-1.6215924062142306,-1.1973973417458388,-0.1685183183647483,-1.0676983331571042,0.6515716331290463,0.4678406069446638,-0.0471352733114536
22,2,-0.2366148702950294,-0.1808900314272746,-1.2244630501226863,-1.5308176836400107,-1.2221725370472811,-0.1685183182529678,-1.0842421316600517,0.6427845088451938,0.4803395428950965,-0.138901844527847
22,3,-0.2366148702950294,-0.1808917411020212,-1.2244630501226863,-1.544856100038117,-1.4500725707496522,-0.168518318715251,-1.0842421316600517,0.6662168402688009,0.4615911389694482,-0.2528189674171682
22,4,-0.2366148715089314,-0.1808911760055293,-1.2157024753743872,-1.5147285426123207,-1.1708751775449355,-0.1685183180435398,-1.0842421316600517,0.6574297159849484,0.4928384788455293,-0.1483949381019559
22,5,-0.2366148622875353,-0.1808915773691028,-1.198268495775782,-1.5367587535227754,-1.3817819683161892,-0.168518318762019,-1.0759496042308934,0.6603587574128997,0.4615911389694482,-0.0502996378361566
23,1,-0.2366145315098786,-0.180891759508115,-0.9364972921027218,-0.3698512027169353,-2.496189310817609,-0.1685183194704765,-0.9933543807822623,0.6603587574128997,0.4615911389694482,-2.7305163902598726
23,2,-0.2366145315098786,-0.1808917706578568,-0.9364972921027218,-0.3682377649568952,-2.494918787981638,-0.1685183194989998,-0.9933543807822623,0.6603587574128997,0.4615911389694482,-2.771653129081011
23,3,-0.2366145315098786,-0.180891983521357,-0.9277803023034192,-0.3632918996737816,-2.499842063971027,-0.1685183195054239,-0.9933543807822623,0.6603587574128997,0.4615911389694482,-2.7273520257351693
23,4,-0.2366145222458894,-0.1808921343153374,-0.9321387972030704,-0.3722638199282103,-2.499683248616531,-0.168518319489749,-0.9933543807822623,0.6603587574128997,0.4615911389694482,-2.740009483833981
23,5,-0.2366145315098786,-0.1808918431049425,-0.9277803023034192,-0.3691877329838347,-2.4985715411350555,-0.1685183194733031,-0.9933543807822623,0.6603587574128997,0.4615911389694482,-2.7336807547845754
24,1,-0.2366117230942759,-0.1808910520914529,-0.5438404865931316,-0.4123585022080858,0.3015019739914284,-0.1685182941723522,-0.6258221389780025,0.6105650531377282,0.4678406069446638,0.7692707740620055
24,2,-0.2366116493231065,-0.1808910672620993,-0.5438404865931316,-0.4202447447174408,0.2921318680761393,-0.1685182960751914,-0.6299684026925816,0.5988488874259299,0.4678406069446638,0.7724351385867084
24,3,-0.2366117968654452,-0.1808911966869226,-0.5438404865931316,-0.4182694143757094,0.2970551440655286,-0.1685182950241972,-0.6216758752634233,0.5754165560023228,0.464715872957056,0.7882569612102233
24,4,-0.2366116493231065,-0.1808909008830707,-0.5438404865931316,-0.4200788772841656,0.3018196047004212,-0.1685182945968614,-0.6299684026925816,0.592990804570028,0.4615911389694482,0.8040787838337452
24,5,-0.2366116493231065,-0.1808914362742132,-0.5438404865931316,-0.4259143951639369,0.2948317291025785,-0.168518294576561,-0.6299684026925816,0.5988488874259299,0.4740900749198801,0.7882569612102233
